Alameda Deaths - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94501,2.993,0.356,13.152,Rate is unstable interpret with caution
94502,0,,,Not applicable
94514,0,,,Not applicable
94536,5.814,1.576,16.086,Rate is unstable interpret with caution
94538,1.358,0.034,11.705,Rate is unstable interpret with caution
94539,0,,,Not applicable
94541,4.482,0.915,16.982,Rate is unstable interpret with caution
94542,0,,,Not applicable
94544,2.614,0.314,13.664,Rate is unstable interpret with caution
94545,0,,,Not applicable
94546,0,,,Not applicable
94550,2.713,0.069,15.599,Rate is unstable interpret with caution
94551,6.381,1.303,30.06,Rate is unstable interpret with caution
94552,0,,,Not applicable
94555,0,,,Not applicable
94560,1.735,0.044,16.319,Rate is unstable interpret with caution
94566,0,,,Not applicable
94568,0,,,Not applicable
94577,5.442,1.122,19.522,Rate is unstable interpret with caution
94578,0,,,Not applicable
94579,0,,,Not applicable
94580,2.903,0.074,22.012,Rate is unstable interpret with caution
94586,0,,,Not applicable
94587,2.812,0.334,12.609,Rate is unstable interpret with caution
94588,0,,,Not applicable
94601,0,,,Not applicable
94602,0,,,Not applicable
94603,6.439,0.78,33.86,Rate is unstable interpret with caution
94605,5.387,1.095,20.405,Rate is unstable interpret with caution
94606,4.507,0.546,22.583,Rate is unstable interpret with caution
94607,3.277,0.083,29.947,Rate is unstable interpret with caution
94608,4.798,0.121,39.198,Rate is unstable interpret with caution
94609,12.791,2.316,56.639,Rate is unstable interpret with caution
94610,0,,,Not applicable
94611,0,,,Not applicable
94612,4.415,0.112,105.016,Rate is unstable interpret with caution
94613,0,,,Not applicable
94618,0,,,Not applicable
94619,0,,,Not applicable
94621,0,,,Not applicable
94702,9.428,1.138,56.353,Rate is unstable interpret with caution
94703,3.223,0.082,34.003,Rate is unstable interpret with caution
94704,0,,,Not applicable
94705,0,,,Not applicable
94706,6.867,0.831,40.634,Rate is unstable interpret with caution
94707,0,,,Not applicable
94708,0,,,Not applicable
94709,12.156,0.308,155.506,Rate is unstable interpret with caution
94710,10.969,0.278,186.832,Rate is unstable interpret with caution
94720,0,,,Not applicable
95391,0,,,Not applicable
Alameda,2.385,1.732,3.257,Rate is stable
California,4.832,4.615,5.058,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
