Amador Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,0,,,Not applicable
95640,10.055,0.255,101.368,Rate is unstable interpret with caution
95642,5.075,0.128,170.246,Rate is unstable interpret with caution
95665,139.832,16.932,1361.314,Rate is unstable interpret with caution
95666,73.125,7.929,402.667,Rate is unstable interpret with caution
95669,0,,,Not applicable
95685,13.093,0.331,280.494,Rate is unstable interpret with caution
95689,0,,,Not applicable
Amador,19.727,12.637,53.87,Rate may be unstable
California,18.028,17.602,18.458,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
