Butte Deaths - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95901,11.937,3.034,40.957,Rate is unstable interpret with caution
95914,0,,,Not applicable
95916,0,,,Not applicable
95917,0,,,Not applicable
95926,1.876,0.048,19.582,Rate is unstable interpret with caution
95928,11.449,3.064,34.409,Rate is unstable interpret with caution
95938,0,,,Not applicable
95941,0,,,Not applicable
95942,0,,,Not applicable
95948,0,,,Not applicable
95954,17.045,1.21,84.003,Rate is unstable interpret with caution
95965,2.807,0.071,31.595,Rate is unstable interpret with caution
95966,4.078,0.103,30.808,Rate is unstable interpret with caution
95968,0,,,Not applicable
95969,15.281,2.998,49.574,Rate is unstable interpret with caution
95973,7.989,1.637,26.375,Rate is unstable interpret with caution
Butte,7.57,4.362,12.707,Rate is stable
California,5.222,5.005,5.45,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
