Contra Costa Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,0,,,Not applicable
94506,0,,,Not applicable
94507,0,,,Not applicable
94509,8.489,2.7,21.258,Rate may be unstable
94513,1.997,0.051,12.661,Rate is unstable interpret with caution
94514,0,,,Not applicable
94517,0,,,Not applicable
94518,1.929,0.049,23.8,Rate is unstable interpret with caution
94519,5.112,0.129,39.341,Rate is unstable interpret with caution
94520,5.902,1.169,25.709,Rate is unstable interpret with caution
94521,0,,,Not applicable
94523,5.539,0.67,25.715,Rate is unstable interpret with caution
94525,0,,,Not applicable
94526,0,,,Not applicable
94528,0,,,Not applicable
94530,6.286,0.661,33.314,Rate is unstable interpret with caution
94531,7.034,1.382,27.956,Rate is unstable interpret with caution
94547,0,,,Not applicable
94548,0,,,Not applicable
94549,14.175,1.716,51.422,Rate is unstable interpret with caution
94551,0,,,Not applicable
94553,19.35,9.657,37.494,Rate may be unstable
94556,0,,,Not applicable
94561,2.24,0.057,26.151,Rate is unstable interpret with caution
94563,2.751,0.07,65.501,Rate is unstable interpret with caution
94564,7.252,0.839,42.353,Rate is unstable interpret with caution
94565,2.836,0.582,10.983,Rate is unstable interpret with caution
94569,0,,,Not applicable
94572,0,,,Not applicable
94582,4.324,0.109,144.505,Rate is unstable interpret with caution
94583,3.061,0.078,23.752,Rate is unstable interpret with caution
94595,0,,,Not applicable
94596,0,,,Not applicable
94597,4.605,0.117,47.352,Rate is unstable interpret with caution
94598,0,,,Not applicable
94707,2.932,0.074,65.359,Rate is unstable interpret with caution
94708,14.791,0.374,88.814,Rate is unstable interpret with caution
94801,14.148,2.447,49.265,Rate is unstable interpret with caution
94803,9.418,1.133,40.644,Rate is unstable interpret with caution
94804,2.19,0.055,17.951,Rate is unstable interpret with caution
94805,0,,,Not applicable
94806,7.115,1.868,19.186,Rate is unstable interpret with caution
California,4.87,4.66,5.09,Rate is stable
Contra Costa,4.385,3.268,5.795,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
