Contra Costa Deaths - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,18.307,3.401,68.555,Rate is unstable interpret with caution
94506,2.262,0.057,54.124,Rate is unstable interpret with caution
94507,0,,,Not applicable
94509,11.357,4.807,23.696,Rate may be unstable
94513,7.784,2.08,20.68,Rate is unstable interpret with caution
94514,0,,,Not applicable
94517,4.591,0.116,58.716,Rate is unstable interpret with caution
94518,12.045,2.46,41.394,Rate is unstable interpret with caution
94519,15.58,2.682,58.42,Rate is unstable interpret with caution
94520,4.214,0.502,21.83,Rate is unstable interpret with caution
94521,4.739,0.558,19.468,Rate is unstable interpret with caution
94523,6.381,0.736,26.787,Rate is unstable interpret with caution
94525,0,,,Not applicable
94526,6.163,0.156,40.335,Rate is unstable interpret with caution
94528,0,,,Not applicable
94530,0,,,Not applicable
94531,8.999,2.434,28.484,Rate is unstable interpret with caution
94547,3.04,0.077,27.512,Rate is unstable interpret with caution
94548,0,,,Not applicable
94549,13.128,2.299,43.648,Rate is unstable interpret with caution
94551,8.532,1.7,30.076,Rate is unstable interpret with caution
94553,4.721,0.555,19.066,Rate is unstable interpret with caution
94556,13.794,0.349,94.149,Rate is unstable interpret with caution
94561,7.367,1.481,29.681,Rate is unstable interpret with caution
94563,0,,,Not applicable
94564,3.867,0.098,41.243,Rate is unstable interpret with caution
94565,12.383,6.327,22.889,Rate is stable
94569,0,,,Not applicable
94572,0,,,Not applicable
94582,0,,,Not applicable
94583,7.532,0.748,31.346,Rate is unstable interpret with caution
94595,25.853,3.112,120.742,Rate is unstable interpret with caution
94596,6.828,0.761,39.858,Rate is unstable interpret with caution
94597,10.98,2.201,57.376,Rate is unstable interpret with caution
94598,9.171,0.597,43.249,Rate is unstable interpret with caution
94707,0,,,Not applicable
94708,0,,,Not applicable
94801,20.709,8.091,50.573,Rate may be unstable
94803,5.947,0.667,34.998,Rate is unstable interpret with caution
94804,9.562,2.539,28.126,Rate is unstable interpret with caution
94805,0,,,Not applicable
94806,4.682,0.958,14.679,Rate is unstable interpret with caution
California,5.82,5.59,6.062,Rate is stable
Contra Costa,6.815,5.402,8.512,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
