El Dorado Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95614,0,,,Not applicable
95619,0,,,Not applicable
95623,0,,,Not applicable
95629,0,,,Not applicable
95633,0,,,Not applicable
95634,0,,,Not applicable
95635,0,,,Not applicable
95636,0,,,Not applicable
95651,0,,,Not applicable
95664,0,,,Not applicable
95667,4.58,0.388,24.349,Rate is unstable interpret with caution
95672,0,,,Not applicable
95682,8.56,1.037,36.034,Rate is unstable interpret with caution
95684,0,,,Not applicable
95709,0,,,Not applicable
95720,0,,,Not applicable
95721,0,,,Not applicable
95726,5.675,0.144,217.661,Rate is unstable interpret with caution
95735,0,,,Not applicable
95762,0,,,Not applicable
96142,0,,,Not applicable
96150,11.824,1.847,45.891,Rate is unstable interpret with caution
California,4.79,4.58,5.01,Rate is stable
El Dorado,4.04,2.633,10.547,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
