Fresno Deaths - by Zip Code 2014,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93210,5.911,0.15,58.68,Rate is unstable interpret with caution
93234,0,,,Not applicable
93242,0,,,Not applicable
93602,0,,,Not applicable
93603,0,,,Not applicable
93608,0,,,Not applicable
93609,0,,,Not applicable
93611,6.183,1.181,21.285,Rate is unstable interpret with caution
93612,18.478,6.6,44.712,Rate may be unstable
93616,0,,,Not applicable
93618,0,,,Not applicable
93619,7.272,0.665,34.397,Rate is unstable interpret with caution
93620,0,,,Not applicable
93621,0,,,Not applicable
93622,10.378,0.263,301.248,Rate is unstable interpret with caution
93625,0,,,Not applicable
93626,0,,,Not applicable
93627,0,,,Not applicable
93628,0,,,Not applicable
93630,0,,,Not applicable
93631,0,,,Not applicable
93633,0,,,Not applicable
93640,0,,,Not applicable
93641,0,,,Not applicable
93646,8.419,0.213,111.082,Rate is unstable interpret with caution
93648,0,,,Not applicable
93650,25.726,0.651,234.755,Rate is unstable interpret with caution
93651,0,,,Not applicable
93652,0,,,Not applicable
93654,4.079,0.103,24.115,Rate is unstable interpret with caution
93656,0,,,Not applicable
93657,3.352,0.085,20.674,Rate is unstable interpret with caution
93660,0,,,Not applicable
93662,7.523,0.843,30.323,Rate is unstable interpret with caution
93664,0,,,Not applicable
93667,138.074,3.496,769.297,Rate is unstable interpret with caution
93668,0,,,Not applicable
93675,135.002,20.302,897.435,Rate is unstable interpret with caution
93701,26.809,5.407,129.235,Rate is unstable interpret with caution
93702,8.826,1.811,31.861,Rate is unstable interpret with caution
93703,2.918,0.074,31.966,Rate is unstable interpret with caution
93704,12.769,3.371,41.321,Rate is unstable interpret with caution
93705,11.245,2.283,34.41,Rate is unstable interpret with caution
93706,7.592,1.358,27.77,Rate is unstable interpret with caution
93710,21.367,5.452,59.874,Rate is unstable interpret with caution
93711,12.335,3.229,34.02,Rate is unstable interpret with caution
93720,4.198,0.507,22.009,Rate is unstable interpret with caution
93721,20.597,0.521,146.846,Rate is unstable interpret with caution
93722,7.805,2.84,19.449,Rate may be unstable
93723,8.456,0.214,70.786,Rate is unstable interpret with caution
93725,10.694,2.101,42.5,Rate is unstable interpret with caution
93726,4.081,0.464,22.109,Rate is unstable interpret with caution
93727,4.041,0.833,13.8,Rate is unstable interpret with caution
93728,5.882,0.149,63.231,Rate is unstable interpret with caution
93730,0,,,Not applicable
California,4.925,4.71,5.148,Rate is stable
Fresno,7.625,5.925,9.715,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
