Humboldt Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95501,54.637,29.252,96.745,Rate is stable
95503,10.492,1.988,38.056,Rate is unstable interpret with caution
95511,0,,,Not applicable
95514,0,,,Not applicable
95519,34.96,11.34,84.523,Rate may be unstable
95521,26.103,6.529,113.439,Rate is unstable interpret with caution
95524,0,,,Not applicable
95525,136.164,3.447,5407.482,Rate is unstable interpret with caution
95526,0,,,Not applicable
95528,0,,,Not applicable
95536,0,,,Not applicable
95540,21.381,2.589,77.236,Rate is unstable interpret with caution
95542,0,,,Not applicable
95546,147.429,43.243,510.585,Rate may be unstable
95547,0,,,Not applicable
95549,0,,,Not applicable
95550,0,,,Not applicable
95551,0,,,Not applicable
95554,0,,,Not applicable
95555,0,,,Not applicable
95556,0,,,Not applicable
95558,0,,,Not applicable
95560,152.002,13.67,1444.915,Rate is unstable interpret with caution
95562,0,,,Not applicable
95563,0,,,Not applicable
95564,127.385,3.225,5646.077,Rate is unstable interpret with caution
95565,0,,,Not applicable
95569,0,,,Not applicable
95570,100.95,9.178,1514.521,Rate is unstable interpret with caution
95573,64.144,1.624,1945.271,Rate is unstable interpret with caution
95589,0,,,Not applicable
California,18.028,17.602,18.458,Rate is stable
Humboldt,36.53,26.233,49.712,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
