Imperial Deaths - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,4.208,0.107,36.492,Rate is unstable interpret with caution
92231,3.603,0.091,20.548,Rate is unstable interpret with caution
92233,6.878,0.174,162.44,Rate is unstable interpret with caution
92243,6.482,1.282,21.041,Rate is unstable interpret with caution
92249,16.376,0.415,140.393,Rate is unstable interpret with caution
92250,9.395,0.238,122.95,Rate is unstable interpret with caution
92251,14.524,2.815,67.741,Rate is unstable interpret with caution
92257,0,,,Not applicable
92259,0,,,Not applicable
92274,6,0.152,82.246,Rate is unstable interpret with caution
92281,0,,,Not applicable
92283,0,,,Not applicable
California,4.793,4.577,5.015,Rate is stable
Imperial,6.752,3.367,12.355,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
