Imperial Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,9.541,1.968,37.413,Rate is unstable interpret with caution
92231,6.492,0.786,23.824,Rate is unstable interpret with caution
92233,0,,,Not applicable
92243,23.712,11.104,45.096,Rate may be unstable
92249,14.435,0.365,146.508,Rate is unstable interpret with caution
92250,0,,,Not applicable
92251,19.1,5.055,102.07,Rate is unstable interpret with caution
92257,0,,,Not applicable
92259,0,,,Not applicable
92274,10.585,1.241,82.629,Rate is unstable interpret with caution
92281,0,,,Not applicable
92283,0,,,Not applicable
California,4.79,4.58,5.01,Rate is stable
Imperial,12.655,7.772,19.753,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
