Kern Deaths - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93203,0,,,Not applicable
93205,131.41,3.327,1770.952,Rate is unstable interpret with caution
93206,0,,,Not applicable
93215,4.143,0.501,18.091,Rate is unstable interpret with caution
93224,0,,,Not applicable
93225,10.108,0.256,199.444,Rate is unstable interpret with caution
93226,0,,,Not applicable
93238,0,,,Not applicable
93240,49.843,6.036,237.032,Rate is unstable interpret with caution
93241,7.171,0.182,86.336,Rate is unstable interpret with caution
93243,0,,,Not applicable
93249,0,,,Not applicable
93250,8.852,0.224,220.615,Rate is unstable interpret with caution
93251,0,,,Not applicable
93252,0,,,Not applicable
93255,0,,,Not applicable
93263,13.912,2.761,51.974,Rate is unstable interpret with caution
93268,4.822,0.122,40.753,Rate is unstable interpret with caution
93276,0,,,Not applicable
93280,7.619,0.92,48.217,Rate is unstable interpret with caution
93283,247.049,6.255,1376.472,Rate is unstable interpret with caution
93285,118.838,3.009,981.135,Rate is unstable interpret with caution
93287,0,,,Not applicable
93301,20.778,4.275,81.776,Rate is unstable interpret with caution
93304,12.242,4.392,30.534,Rate may be unstable
93305,45.596,24.464,79.518,Rate is stable
93306,8.601,2.602,22.56,Rate may be unstable
93307,7.749,2.775,21.282,Rate may be unstable
93308,24.909,13.02,43.937,Rate is stable
93309,9.385,3.027,23.934,Rate may be unstable
93311,6.264,1.291,22.138,Rate is unstable interpret with caution
93312,9.316,2.998,23.825,Rate may be unstable
93313,7.308,1.923,26.759,Rate is unstable interpret with caution
93314,8.66,1.605,42.12,Rate is unstable interpret with caution
93461,0,,,Not applicable
93501,20.803,0.527,209.563,Rate is unstable interpret with caution
93505,11.649,1.404,104.731,Rate is unstable interpret with caution
93516,0,,,Not applicable
93518,0,,,Not applicable
93519,0,,,Not applicable
93523,0,,,Not applicable
93524,0,,,Not applicable
93527,101.304,12.268,1097.196,Rate is unstable interpret with caution
93528,0,,,Not applicable
93531,0,,,Not applicable
93536,11.369,4.805,23.729,Rate may be unstable
93554,0,,,Not applicable
93555,8.593,1.722,28.594,Rate is unstable interpret with caution
93560,23.011,6.201,77.422,Rate is unstable interpret with caution
93561,4.863,0.474,24.24,Rate is unstable interpret with caution
California,5.82,5.59,6.062,Rate is stable
Kern,10.457,8.412,12.918,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
