Kings Deaths - by Zip Code 2014,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93202,71.605,8.401,616.683,Rate is unstable interpret with caution
93204,5.076,0.129,229.52,Rate is unstable interpret with caution
93212,7.136,0.812,56.676,Rate is unstable interpret with caution
93230,7.674,2.449,19.555,Rate may be unstable
93239,0,,,Not applicable
93242,0,,,Not applicable
93245,7.432,0.9,35.587,Rate is unstable interpret with caution
93266,0,,,Not applicable
93631,0,,,Not applicable
93656,0,,,Not applicable
California,4.925,4.71,5.148,Rate is stable
Kings,8.397,4.48,15.31,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
