Kings Deaths - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93202,0,,,Not applicable
93204,0,,,Not applicable
93212,6.933,0.779,40.397,Rate is unstable interpret with caution
93230,0,,,Not applicable
93239,0,,,Not applicable
93242,0,,,Not applicable
93245,0,,,Not applicable
93266,0,,,Not applicable
93631,11.282,1.244,52.51,Rate is unstable interpret with caution
93656,0,,,Not applicable
California,7.905,7.631,8.186,Rate is stable
Kings,1.065,0.585,6.49,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
