Lake Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,25.463,9.313,71.261,Rate may be unstable
95423,115.021,18.041,522.669,Rate is unstable interpret with caution
95443,0,,,Not applicable
95451,0,,,Not applicable
95453,31.063,5.7,121.955,Rate is unstable interpret with caution
95457,0,,,Not applicable
95458,106.422,21.624,516.274,Rate is unstable interpret with caution
95461,0,,,Not applicable
95464,309.505,20.39,1455.381,Rate is unstable interpret with caution
95467,0,,,Not applicable
95469,0,,,Not applicable
95485,0,,,Not applicable
95493,0,,,Not applicable
California,4.79,4.58,5.01,Rate is stable
Lake,26.92,22.76,55.57,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
