Lake Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,44.083,16.952,104.363,Rate may be unstable
95423,7.615,0.193,1258.418,Rate is unstable interpret with caution
95443,0,,,Not applicable
95451,18.466,1.187,87.341,Rate is unstable interpret with caution
95453,31.804,7.075,120.902,Rate is unstable interpret with caution
95457,16.082,0.407,982.734,Rate is unstable interpret with caution
95458,30.272,3.242,798.393,Rate is unstable interpret with caution
95461,0,,,Not applicable
95464,45.362,1.148,857.069,Rate is unstable interpret with caution
95467,9.226,0.234,204.045,Rate is unstable interpret with caution
95469,0,,,Not applicable
95485,64.052,3.798,618.545,Rate is unstable interpret with caution
95493,0,,,Not applicable
California,14.48,14.092,14.877,Rate is stable
Lake,27.78,16.77,44.945,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
