Los Angeles Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90001,15.817,7.07,33.589,Rate may be unstable
90002,22.835,11.591,44.652,Rate is stable
90003,26.977,15.44,45.885,Rate is stable
90004,20.013,10.545,36.212,Rate is stable
90005,19.653,8.259,43.019,Rate may be unstable
90006,29.473,17.045,48.614,Rate is stable
90007,19.774,6.49,51.315,Rate may be unstable
90008,29.371,13.963,58.547,Rate may be unstable
90010,0,,,Not applicable
90011,17.656,10.534,30.363,Rate is stable
90012,29.028,10.695,77.408,Rate may be unstable
90013,1006.029,558.257,5223.405,Rate is stable
90014,541.79,134.867,1562.266,Rate is unstable interpret with caution
90015,44.122,20.525,96.225,Rate may be unstable
90016,17.324,7.749,35.96,Rate may be unstable
90017,68.271,39.073,115.089,Rate is stable
90018,13.921,5.467,30.326,Rate may be unstable
90019,14.162,6.737,29.146,Rate may be unstable
90020,8.111,1.669,31.373,Rate is unstable interpret with caution
90021,155.072,24.439,811.348,Rate is unstable interpret with caution
90022,13.857,6.173,27.715,Rate may be unstable
90023,24.074,11.321,46.163,Rate may be unstable
90024,6.709,0.632,42.323,Rate is unstable interpret with caution
90025,15.612,5.559,43.706,Rate may be unstable
90026,15.208,6.95,31.003,Rate may be unstable
90027,10.799,3.734,41.104,Rate may be unstable
90028,30.592,13.322,79.05,Rate may be unstable
90029,39.218,20.818,71.331,Rate is stable
90031,8.209,1.636,25.685,Rate is unstable interpret with caution
90032,7.647,1.973,22.149,Rate is unstable interpret with caution
90033,41.027,24.091,65.865,Rate is stable
90034,6.988,1.709,25.124,Rate is unstable interpret with caution
90035,8.33,1.717,36.758,Rate is unstable interpret with caution
90036,10.782,2.883,36.185,Rate is unstable interpret with caution
90037,29.806,17.771,48.089,Rate is stable
90038,27.777,11.669,64.472,Rate may be unstable
90039,13.554,3.659,47.206,Rate is unstable interpret with caution
90040,9.933,0.251,71.766,Rate is unstable interpret with caution
90041,12.607,3.395,38.821,Rate is unstable interpret with caution
90042,9.468,3.41,23.319,Rate may be unstable
90043,29.974,16.741,52.387,Rate is stable
90044,20.169,12.158,32.277,Rate is stable
90045,11.009,2.69,34.272,Rate is unstable interpret with caution
90046,23.338,11.981,68.997,Rate is stable
90047,18.907,8.356,38.931,Rate may be unstable
90048,13.453,1.366,88.037,Rate is unstable interpret with caution
90049,11.07,2.98,31.706,Rate is unstable interpret with caution
90056,0,,,Not applicable
90057,51.82,32.868,78.752,Rate is stable
90058,0,,,Not applicable
90059,26.658,12.1,55.049,Rate may be unstable
90061,49.238,26.58,87.823,Rate is stable
90062,17.271,6.855,38.251,Rate may be unstable
90063,11.545,4.55,26.146,Rate may be unstable
90064,13.663,3.58,46.732,Rate is unstable interpret with caution
90065,10.304,3.286,27.721,Rate may be unstable
90066,13.009,5.751,29.449,Rate may be unstable
90067,0,,,Not applicable
90068,16.289,2.674,71.92,Rate is unstable interpret with caution
90069,28.915,5.181,182.524,Rate is unstable interpret with caution
90071,631.509,15.988,4050.217,Rate is unstable interpret with caution
90073,702.987,94.957,7309.009,Rate is unstable interpret with caution
90077,0,,,Not applicable
90089,0,,,Not applicable
90094,0,,,Not applicable
90095,0,,,Not applicable
90201,10.181,4.824,20.424,Rate may be unstable
90210,3.026,0.077,41.883,Rate is unstable interpret with caution
90211,21.178,0.536,117.997,Rate is unstable interpret with caution
90212,35.141,6.905,112.922,Rate is unstable interpret with caution
90220,10.748,3.447,26.109,Rate may be unstable
90221,21.682,11.023,42.223,Rate is stable
90222,14.188,4.195,38.782,Rate may be unstable
90230,10.317,2.793,35.253,Rate is unstable interpret with caution
90232,17.975,3.518,79.698,Rate is unstable interpret with caution
90240,10.181,1.954,35.588,Rate is unstable interpret with caution
90241,12.258,3.958,29.855,Rate may be unstable
90242,11.66,3.755,32.114,Rate may be unstable
90245,0,,,Not applicable
90247,22.326,10.81,42.059,Rate may be unstable
90248,30.783,6.001,105.785,Rate is unstable interpret with caution
90249,9.325,1.678,33.173,Rate is unstable interpret with caution
90250,16.254,8.847,28.241,Rate is stable
90254,16.1,3.27,67.911,Rate is unstable interpret with caution
90255,4.184,0.858,13.997,Rate is unstable interpret with caution
90260,6.802,1.271,24.443,Rate is unstable interpret with caution
90262,12.004,5.249,27.008,Rate may be unstable
90263,0,,,Not applicable
90265,29.535,7.372,100.42,Rate is unstable interpret with caution
90266,2.921,0.074,37.345,Rate is unstable interpret with caution
90270,18.179,5.729,48.378,Rate may be unstable
90272,5.573,0.141,53.732,Rate is unstable interpret with caution
90274,7.704,0.195,55.251,Rate is unstable interpret with caution
90275,9.318,1.796,37.406,Rate is unstable interpret with caution
90277,21.317,8.959,50.303,Rate may be unstable
90278,14.363,5.655,37.409,Rate may be unstable
90280,13.093,6.668,23.966,Rate is stable
90290,12.094,0.306,227.971,Rate is unstable interpret with caution
90291,20.029,8.002,61.996,Rate may be unstable
90292,9.003,1.047,97.527,Rate is unstable interpret with caution
90293,0,,,Not applicable
90301,16.324,5.806,38.09,Rate may be unstable
90302,15.53,4.971,51.567,Rate may be unstable
90303,26.697,9.481,61.471,Rate may be unstable
90304,10.954,2.201,63.219,Rate is unstable interpret with caution
90305,13.89,1.681,79.17,Rate is unstable interpret with caution
90401,61.886,14.451,744.44,Rate is unstable interpret with caution
90402,0,,,Not applicable
90403,17.213,5.243,65.978,Rate may be unstable
90404,22.699,6.613,62.137,Rate may be unstable
90405,16.854,4.913,52.681,Rate may be unstable
90501,11.081,3.567,27.948,Rate may be unstable
90502,16.723,3.431,73.063,Rate is unstable interpret with caution
90503,7.167,1.478,24.972,Rate is unstable interpret with caution
90504,20.265,7.365,46.195,Rate may be unstable
90505,2.768,0.07,19.936,Rate is unstable interpret with caution
90506,0,,,Not applicable
90601,9.914,1.988,32.551,Rate is unstable interpret with caution
90602,16.384,4.404,44.746,Rate is unstable interpret with caution
90603,12.08,1.462,46.988,Rate is unstable interpret with caution
90604,12.965,4.184,31.638,Rate may be unstable
90605,16.136,5.91,35.639,Rate may be unstable
90606,17.153,6.082,40.597,Rate may be unstable
90623,16.358,1.833,68.736,Rate is unstable interpret with caution
90631,18.912,9.873,33.312,Rate is stable
90638,1.951,0.049,17.166,Rate is unstable interpret with caution
90640,20.044,10.242,35.741,Rate is stable
90650,19.894,12.033,31.305,Rate is stable
90660,10.235,3.684,24.276,Rate may be unstable
90670,24.113,6.16,67.289,Rate is unstable interpret with caution
90701,11.055,1.293,47.662,Rate is unstable interpret with caution
90703,3.613,0.36,16.443,Rate is unstable interpret with caution
90704,7.916,0.2,329.255,Rate is unstable interpret with caution
90706,11.232,5.076,22.052,Rate may be unstable
90710,13.21,3.224,38.256,Rate is unstable interpret with caution
90712,14.42,4.613,37.259,Rate may be unstable
90713,4.295,0.466,25.198,Rate is unstable interpret with caution
90715,10.21,1.23,42.122,Rate is unstable interpret with caution
90716,25.551,5.262,77.278,Rate is unstable interpret with caution
90717,36.961,14.235,82.476,Rate may be unstable
90723,8.139,2.194,24.377,Rate is unstable interpret with caution
90731,33.821,21.011,53.048,Rate is stable
90732,9.855,1.84,44.811,Rate is unstable interpret with caution
90740,47.877,16.602,120.962,Rate may be unstable
90744,15.352,6.791,30.745,Rate may be unstable
90745,15.402,6.864,30.72,Rate may be unstable
90746,4.101,0.104,38.362,Rate is unstable interpret with caution
90747,0,,,Not applicable
90755,18.592,3.651,82.565,Rate is unstable interpret with caution
90802,27.933,13.897,57.754,Rate may be unstable
90803,17.341,6.593,50.827,Rate may be unstable
90804,28.384,13.398,62.632,Rate may be unstable
90805,13.734,6.995,25.142,Rate is stable
90806,16.425,6.495,37.786,Rate may be unstable
90807,19.056,6.891,44.239,Rate may be unstable
90808,17.718,6.853,40.365,Rate may be unstable
90810,33.173,16.498,61.751,Rate may be unstable
90813,24.314,13.252,45.84,Rate is stable
90814,15.407,2.988,76.146,Rate is unstable interpret with caution
90815,12.302,3.34,31.828,Rate is unstable interpret with caution
90822,0,,,Not applicable
91001,10.065,1.955,31.91,Rate is unstable interpret with caution
91006,8.226,0.986,31.212,Rate is unstable interpret with caution
91007,5.944,0.694,29.27,Rate is unstable interpret with caution
91008,0,,,Not applicable
91010,15.216,3.789,44.385,Rate is unstable interpret with caution
91011,17.661,2.139,66.402,Rate is unstable interpret with caution
91016,10.194,2.724,28.269,Rate is unstable interpret with caution
91020,8.07,0.204,177.551,Rate is unstable interpret with caution
91024,0,,,Not applicable
91030,7.694,0.916,40.426,Rate is unstable interpret with caution
91040,55.406,26.958,108.454,Rate may be unstable
91042,21.298,7.367,53.804,Rate may be unstable
91101,3.608,0.091,60.952,Rate is unstable interpret with caution
91103,25.836,10.197,55.604,Rate may be unstable
91104,7.049,1.393,25.367,Rate is unstable interpret with caution
91105,0,,,Not applicable
91106,11.022,2.214,53.974,Rate is unstable interpret with caution
91107,11.161,3.035,34.977,Rate is unstable interpret with caution
91108,0,,,Not applicable
91201,11.64,2.283,44.181,Rate is unstable interpret with caution
