Madera Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,0,,,Not applicable
93604,0,,,Not applicable
93610,8.605,1.04,43.425,Rate is unstable interpret with caution
93614,8.077,0.204,87.71,Rate is unstable interpret with caution
93622,0,,,Not applicable
93626,0,,,Not applicable
93636,11.802,1.3,66.198,Rate is unstable interpret with caution
93637,3.059,0.077,20.601,Rate is unstable interpret with caution
93638,2.119,0.054,18.934,Rate is unstable interpret with caution
93643,26.834,0.679,421.42,Rate is unstable interpret with caution
93644,5.199,0.132,300.841,Rate is unstable interpret with caution
93645,0,,,Not applicable
93653,0,,,Not applicable
93669,0,,,Not applicable
93720,1.958,0.05,18.927,Rate is unstable interpret with caution
California,4.79,4.58,5.01,Rate is stable
Madera,5.707,4.123,13.44,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
