Marin Deaths - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94901,6.324,1.198,21.076,Rate is unstable interpret with caution
94903,2.277,0.058,24.716,Rate is unstable interpret with caution
94904,15.125,1.324,94.004,Rate is unstable interpret with caution
94920,39.61,4.685,155.862,Rate is unstable interpret with caution
94924,0,,,Not applicable
94925,5.512,0.14,331.608,Rate is unstable interpret with caution
94929,0,,,Not applicable
94930,0,,,Not applicable
94933,0,,,Not applicable
94937,0,,,Not applicable
94938,0,,,Not applicable
94939,31.836,0.806,211.481,Rate is unstable interpret with caution
94940,0,,,Not applicable
94941,7.097,1.346,38.466,Rate is unstable interpret with caution
94945,11.055,1.224,51.502,Rate is unstable interpret with caution
94946,0,,,Not applicable
94947,12.12,1.468,44.639,Rate is unstable interpret with caution
94949,5.071,0.128,41.416,Rate is unstable interpret with caution
94952,15.951,4.567,42.576,Rate may be unstable
94956,0,,,Not applicable
94960,0,,,Not applicable
94963,0,,,Not applicable
94964,116.363,30.817,411.37,Rate is unstable interpret with caution
94965,9.99,0.253,106.973,Rate is unstable interpret with caution
94970,0,,,Not applicable
94971,0,,,Not applicable
94973,0,,,Not applicable
California,7.905,7.631,8.186,Rate is stable
Marin,9.265,5.66,14.6,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
