Mariposa Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,233.85,13.07,2024.609,Rate is unstable interpret with caution
93623,0,,,Not applicable
93653,0,,,Not applicable
95306,0,,,Not applicable
95311,0,,,Not applicable
95318,0,,,Not applicable
95321,0,,,Not applicable
95325,0,,,Not applicable
95329,53.401,1.352,1588.974,Rate is unstable interpret with caution
95338,8.707,0.22,111.701,Rate is unstable interpret with caution
95345,0,,,Not applicable
95369,0,,,Not applicable
95389,0,,,Not applicable
California,14.48,14.092,14.877,Rate is stable
Mariposa,20.02,10.91,105.23,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
