Mendocino Deaths - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95410,0,,,Not applicable
95415,0,,,Not applicable
95417,0,,,Not applicable
95420,0,,,Not applicable
95427,0,,,Not applicable
95428,120.148,11.82,562.057,Rate is unstable interpret with caution
95429,0,,,Not applicable
95432,0,,,Not applicable
95437,15,2.576,61.112,Rate is unstable interpret with caution
95445,0,,,Not applicable
95449,0,,,Not applicable
95454,0,,,Not applicable
95456,0,,,Not applicable
95459,285.08,7.218,24692.785,Rate is unstable interpret with caution
95460,0,,,Not applicable
95466,0,,,Not applicable
95468,0,,,Not applicable
95469,0,,,Not applicable
95470,0,,,Not applicable
95482,18.188,6.481,43.429,Rate may be unstable
95488,0,,,Not applicable
95490,19.771,0.501,110.157,Rate is unstable interpret with caution
95494,1045.293,26.465,5824,Rate is unstable interpret with caution
95585,201.656,5.105,3184.388,Rate is unstable interpret with caution
95587,0,,,Not applicable
95589,0,,,Not applicable
California,5.222,5.005,5.45,Rate is stable
Mendocino,19.335,11.76,31.407,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
