Merced Deaths - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,6.788,0.812,39.915,Rate is unstable interpret with caution
93620,27.419,3.316,113.464,Rate is unstable interpret with caution
93622,0,,,Not applicable
93635,3.047,0.077,20.129,Rate is unstable interpret with caution
95301,8.536,1.69,26.901,Rate is unstable interpret with caution
95303,0,,,Not applicable
95315,6.345,0.161,215.726,Rate is unstable interpret with caution
95316,17.132,0.434,111.159,Rate is unstable interpret with caution
95317,0,,,Not applicable
95322,0,,,Not applicable
95324,9.08,0.23,84.954,Rate is unstable interpret with caution
95333,0,,,Not applicable
95334,10.57,1.195,54.797,Rate is unstable interpret with caution
95340,11.353,3.608,31.702,Rate may be unstable
95341,2.943,0.075,33.315,Rate is unstable interpret with caution
95348,3.298,0.083,24.25,Rate is unstable interpret with caution
95360,6.699,0.17,186.108,Rate is unstable interpret with caution
95365,0,,,Not applicable
95369,0,,,Not applicable
95374,0,,,Not applicable
95380,7.141,1.442,24.335,Rate is unstable interpret with caution
95388,17.246,1.916,75.672,Rate is unstable interpret with caution
California,5.82,5.59,6.062,Rate is stable
Merced,7.305,4.482,11.512,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
