Merced Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,10.792,1.283,47.062,Rate is unstable interpret with caution
93620,4.264,0.108,103.689,Rate is unstable interpret with caution
93622,18.927,0.479,144.962,Rate is unstable interpret with caution
93635,4.337,0.509,18.715,Rate is unstable interpret with caution
95301,7.449,1.388,24.575,Rate is unstable interpret with caution
95303,0,,,Not applicable
95315,10.335,0.262,72.236,Rate is unstable interpret with caution
95316,0,,,Not applicable
95317,0,,,Not applicable
95322,0,,,Not applicable
95324,0,,,Not applicable
95333,0,,,Not applicable
95334,21.446,4.201,66.48,Rate is unstable interpret with caution
95340,12.949,4.195,36.89,Rate may be unstable
95341,28.067,10.54,63.516,Rate may be unstable
95348,23.556,9.046,53.534,Rate may be unstable
95360,16.957,1.832,85.933,Rate is unstable interpret with caution
95365,18.05,0.457,226.667,Rate is unstable interpret with caution
95369,0,,,Not applicable
95374,0,,,Not applicable
95380,39.599,20.547,69.741,Rate is stable
95388,0,,,Not applicable
California,14.48,14.092,14.877,Rate is stable
Merced,10.858,7.332,15.703,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
