Monterey Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93426,0,,,Not applicable
93450,0,,,Not applicable
93451,17.258,0.437,356.407,Rate is unstable interpret with caution
93901,6.754,0.814,28.872,Rate is unstable interpret with caution
93905,1.257,0.032,24.228,Rate is unstable interpret with caution
93906,1.447,0.037,12.344,Rate is unstable interpret with caution
93907,4.095,0.104,31.874,Rate is unstable interpret with caution
93908,3.916,0.099,68.143,Rate is unstable interpret with caution
93920,0,,,Not applicable
93923,0,,,Not applicable
93924,0,,,Not applicable
93925,0,,,Not applicable
93926,0,,,Not applicable
93927,0,,,Not applicable
93930,6.977,0.177,82.919,Rate is unstable interpret with caution
93932,0,,,Not applicable
93933,0,,,Not applicable
93940,4.263,0.497,31.904,Rate is unstable interpret with caution
93943,0,,,Not applicable
93944,0,,,Not applicable
93950,0,,,Not applicable
93953,56.907,1.441,330.103,Rate is unstable interpret with caution
93955,2.517,0.064,19.662,Rate is unstable interpret with caution
93960,4.253,0.108,51.027,Rate is unstable interpret with caution
95004,0,,,Not applicable
95012,0,,,Not applicable
95039,0,,,Not applicable
95076,6.7,2.13,16.587,Rate may be unstable
California,4.87,4.66,5.09,Rate is stable
Monterey,2.422,1.268,4.423,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
