Napa Deaths - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,0,,,Not applicable
94508,0,,,Not applicable
94515,0,,,Not applicable
94558,0,,,Not applicable
94559,0,,,Not applicable
94567,0,,,Not applicable
94574,5.424,0.137,115.951,Rate is unstable interpret with caution
94576,0,,,Not applicable
94599,0,,,Not applicable
95476,0,,,Not applicable
California,4.3,4.095,4.508,Rate is stable
Napa,0.44,0.48,5.76,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
