Nevada Deaths - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,0,,,Not applicable
95724,0,,,Not applicable
95728,0,,,Not applicable
95945,9.199,0.689,44.641,Rate is unstable interpret with caution
95946,0,,,Not applicable
95949,1.922,0.049,49.221,Rate is unstable interpret with caution
95959,19.402,4.075,73.571,Rate is unstable interpret with caution
95960,0,,,Not applicable
95975,0,,,Not applicable
95977,0,,,Not applicable
96111,0,,,Not applicable
96161,0,,,Not applicable
96162,0,,,Not applicable
California,4.3,4.095,4.508,Rate is stable
Nevada,4.42,4.325,17.775,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
