Nevada Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,13.264,0.825,86.686,Rate is unstable interpret with caution
95724,0,,,Not applicable
95728,0,,,Not applicable
95945,19.516,5.761,55.078,Rate may be unstable
95946,38.205,6.513,203.367,Rate is unstable interpret with caution
95949,30.775,10.144,78.937,Rate may be unstable
95959,36.626,11.662,96.048,Rate may be unstable
95960,99.724,2.525,2753.985,Rate is unstable interpret with caution
95975,0,,,Not applicable
95977,67.453,1.708,1968.645,Rate is unstable interpret with caution
96111,0,,,Not applicable
96161,19.413,3.651,85.47,Rate is unstable interpret with caution
California,18.028,17.602,18.458,Rate is stable
Nevada,32.017,20.93,47.83,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
