Orange Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90620,10.559,3.219,27.901,Rate may be unstable
90621,15.194,5.163,36.585,Rate may be unstable
90623,16.358,1.833,68.736,Rate is unstable interpret with caution
90630,7.446,2.311,21.674,Rate may be unstable
90631,18.912,9.873,33.312,Rate is stable
90680,10.657,2.18,33.018,Rate is unstable interpret with caution
90716,25.551,5.262,77.278,Rate is unstable interpret with caution
90720,2.966,0.075,33.551,Rate is unstable interpret with caution
90740,47.877,16.602,120.962,Rate may be unstable
90742,170.938,4.328,3598.944,Rate is unstable interpret with caution
90743,0,,,Not applicable
92530,33.048,19.348,53.643,Rate is stable
92602,7.934,0.201,110.287,Rate is unstable interpret with caution
92603,8.635,1.046,47.74,Rate is unstable interpret with caution
92604,8.068,0.944,32.274,Rate is unstable interpret with caution
92606,12.935,3.431,39.147,Rate is unstable interpret with caution
92610,8.748,1.05,107.838,Rate is unstable interpret with caution
92612,33.074,13.037,75.529,Rate may be unstable
92614,10.654,2.102,43.112,Rate is unstable interpret with caution
92617,0,,,Not applicable
92618,4.711,0.887,24.006,Rate is unstable interpret with caution
92620,5.091,0.531,20.763,Rate is unstable interpret with caution
92624,17.11,0.433,297.177,Rate is unstable interpret with caution
92625,27.485,1.248,139.575,Rate is unstable interpret with caution
92626,35.188,20.622,57.604,Rate is stable
92627,30.369,18.494,48.268,Rate is stable
92629,36.779,14.045,80.631,Rate may be unstable
92630,24.246,13.216,41.519,Rate is stable
92637,233.634,32.288,3382.662,Rate is unstable interpret with caution
92646,27.629,15.26,48.11,Rate is stable
92647,29.477,17.569,47.497,Rate is stable
92648,30.343,17.38,52.287,Rate is stable
92649,17.002,6.234,40.596,Rate may be unstable
92651,22.908,6.804,72.346,Rate may be unstable
92653,24.242,9.721,53.435,Rate may be unstable
92655,7.427,0.188,85.489,Rate is unstable interpret with caution
92656,15.652,7.128,32.263,Rate may be unstable
92657,4.898,0.124,131.934,Rate is unstable interpret with caution
92660,26.631,10.927,56.727,Rate may be unstable
92661,0,,,Not applicable
92662,0,,,Not applicable
92663,32.026,12.639,86.226,Rate may be unstable
92672,17.512,6.236,43.275,Rate may be unstable
92673,17.452,5.192,47.49,Rate may be unstable
92675,34.856,17.335,64.339,Rate may be unstable
92676,0,,,Not applicable
92677,21.011,10.84,38.337,Rate is stable
92679,7.599,1.366,33.068,Rate is unstable interpret with caution
92683,22.221,13.211,35.527,Rate is stable
92688,9.511,2.542,32.028,Rate is unstable interpret with caution
92691,21.167,10.04,40.226,Rate may be unstable
92692,9.414,1.941,28.201,Rate is unstable interpret with caution
92694,10.837,2.127,62.855,Rate is unstable interpret with caution
92701,27.907,14.961,49.775,Rate is stable
92703,36.146,23.181,54.469,Rate is stable
92704,23.755,14.562,37.225,Rate is stable
92705,27.976,14.747,49.2,Rate is stable
92706,24.24,10.922,48.66,Rate may be unstable
92707,31.121,18.333,51.362,Rate is stable
92708,10.196,3.609,24.458,Rate may be unstable
92780,17.643,8.619,33.339,Rate may be unstable
92782,12.7,2.619,44.471,Rate is unstable interpret with caution
92801,43.107,27.649,64.437,Rate is stable
92802,25.452,11.976,48.416,Rate may be unstable
92804,27.923,17.497,42.7,Rate is stable
92805,18.052,9.742,36.749,Rate is stable
92806,24.799,11.127,49.642,Rate may be unstable
92807,16.231,5.691,39.947,Rate may be unstable
92808,26.958,7.341,89.424,Rate is unstable interpret with caution
92821,12.939,4.019,32.439,Rate may be unstable
92823,18.238,0.462,194.72,Rate is unstable interpret with caution
92831,17.861,6.499,42.323,Rate may be unstable
92832,36.502,16.223,73.515,Rate may be unstable
92833,16.62,7.071,33.797,Rate may be unstable
92835,17.173,3.076,54.989,Rate is unstable interpret with caution
92840,21.582,11.058,39.319,Rate is stable
92841,13.207,4.114,35.297,Rate may be unstable
92843,18.763,7.901,38.456,Rate may be unstable
92844,14.675,2.944,50.136,Rate is unstable interpret with caution
92845,5.017,0.127,42.603,Rate is unstable interpret with caution
92861,0,,,Not applicable
92865,6.444,0.719,35.446,Rate is unstable interpret with caution
92866,20.565,4.195,70.902,Rate is unstable interpret with caution
92867,4.167,0.498,19.012,Rate is unstable interpret with caution
92868,19.096,6.571,49.131,Rate may be unstable
92869,18.264,6.483,42.977,Rate may be unstable
92870,26.094,13.468,46.159,Rate is stable
92886,12.083,4.283,29.403,Rate may be unstable
92887,10.01,0.253,55.769,Rate is unstable interpret with caution
California,18.66,18.23,19.098,Rate is stable
Orange,20.623,19.01,22.345,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
