Placer Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,38.34,11.318,110.787,Rate may be unstable
95603,10.932,1.798,40.679,Rate is unstable interpret with caution
95626,0,,,Not applicable
95631,0,,,Not applicable
95648,11.715,3.374,31.87,Rate may be unstable
95650,21.278,1.187,103.8,Rate is unstable interpret with caution
95658,24.245,0.614,181.456,Rate is unstable interpret with caution
95661,4.451,0.113,24.799,Rate is unstable interpret with caution
95663,0,,,Not applicable
95668,338.179,8.562,26997.399,Rate is unstable interpret with caution
95677,29.641,12.432,62.622,Rate may be unstable
95678,4.495,0.522,18.308,Rate is unstable interpret with caution
95681,0,,,Not applicable
95701,0,,,Not applicable
95703,0,,,Not applicable
95713,27.7,3.268,131.407,Rate is unstable interpret with caution
95714,0,,,Not applicable
95715,0,,,Not applicable
95717,0,,,Not applicable
95722,7.03,0.178,223.253,Rate is unstable interpret with caution
95746,0,,,Not applicable
95747,1.411,0.036,9.782,Rate is unstable interpret with caution
95765,16.969,6.694,36.55,Rate may be unstable
96140,0,,,Not applicable
96141,0,,,Not applicable
96142,0,,,Not applicable
96143,0,,,Not applicable
96145,22.983,0.582,1019.394,Rate is unstable interpret with caution
96146,0,,,Not applicable
96148,0,,,Not applicable
California,14.48,14.092,14.877,Rate is stable
Placer,8.732,6.01,12.352,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
