Plumas Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95915,0,,,Not applicable
95923,0,,,Not applicable
95934,0,,,Not applicable
95947,0,,,Not applicable
95956,0,,,Not applicable
95971,38.726,4.584,194.454,Rate is unstable interpret with caution
95981,0,,,Not applicable
95983,0,,,Not applicable
95984,0,,,Not applicable
96020,0,,,Not applicable
96103,0,,,Not applicable
96105,0,,,Not applicable
96106,0,,,Not applicable
96114,0,,,Not applicable
96122,26.889,0.681,377.311,Rate is unstable interpret with caution
96129,0,,,Not applicable
96135,0,,,Not applicable
96137,20.223,0.512,486.167,Rate is unstable interpret with caution
California,18.66,18.23,19.098,Rate is stable
Plumas,18.665,12.86,92.215,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
