Riverside Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91752,0,,,Not applicable
92028,3.001,0.348,16.892,Rate is unstable interpret with caution
92059,0,,,Not applicable
92201,13.098,5.602,26.949,Rate may be unstable
92203,2.257,0.057,22.135,Rate is unstable interpret with caution
92210,0,,,Not applicable
92211,3.235,0.082,60.609,Rate is unstable interpret with caution
92220,6.721,1.219,31.373,Rate is unstable interpret with caution
92223,2.349,0.059,14.063,Rate is unstable interpret with caution
92225,0,,,Not applicable
92230,71.836,1.819,762.468,Rate is unstable interpret with caution
92234,10.719,3.896,24.508,Rate may be unstable
92236,2.711,0.069,32.77,Rate is unstable interpret with caution
92239,0,,,Not applicable
92240,20.401,7.329,47.474,Rate may be unstable
92241,0,,,Not applicable
92253,1.991,0.05,18.16,Rate is unstable interpret with caution
92254,7.192,0.182,246.655,Rate is unstable interpret with caution
92260,3.232,0.082,25.324,Rate is unstable interpret with caution
92262,15.441,4.217,46.619,Rate may be unstable
92264,0,,,Not applicable
92270,16.686,0.756,149.895,Rate is unstable interpret with caution
92274,10.585,1.241,82.629,Rate is unstable interpret with caution
92276,15.334,0.388,125.239,Rate is unstable interpret with caution
92282,0,,,Not applicable
92320,0,,,Not applicable
92324,4.075,0.805,18.817,Rate is unstable interpret with caution
92337,0,,,Not applicable
92373,0,,,Not applicable
92399,0,,,Not applicable
92501,11.174,2.231,50.767,Rate is unstable interpret with caution
92503,4.455,1.19,14.503,Rate is unstable interpret with caution
92504,6.084,1.635,18.919,Rate is unstable interpret with caution
92505,3.409,0.393,17.203,Rate is unstable interpret with caution
92506,0,,,Not applicable
92507,13.409,4.848,34.453,Rate may be unstable
92508,8.09,1.652,38.073,Rate is unstable interpret with caution
92509,9.154,3.492,22.082,Rate may be unstable
92518,0,,,Not applicable
92530,5.864,1.194,27.411,Rate is unstable interpret with caution
92532,8.545,1.03,135.253,Rate is unstable interpret with caution
92536,0,,,Not applicable
92539,34.947,4.172,537.852,Rate is unstable interpret with caution
92543,6.669,0.705,28.797,Rate is unstable interpret with caution
92544,8.764,1.801,25.882,Rate is unstable interpret with caution
92545,11.54,3.001,33.114,Rate is unstable interpret with caution
92548,0,,,Not applicable
92549,0,,,Not applicable
92551,0,,,Not applicable
92553,0,,,Not applicable
92555,2.226,0.056,28.8,Rate is unstable interpret with caution
92557,1.483,0.038,17.509,Rate is unstable interpret with caution
92561,0,,,Not applicable
92562,13.087,5.501,27.572,Rate may be unstable
92563,10.063,3.676,25.615,Rate may be unstable
92567,0,,,Not applicable
92570,1.579,0.04,14.55,Rate is unstable interpret with caution
92571,7.132,0.181,39.734,Rate is unstable interpret with caution
92582,0,,,Not applicable
92583,2.651,0.067,22.029,Rate is unstable interpret with caution
92584,7.354,1.401,24.041,Rate is unstable interpret with caution
92585,3.98,0.101,59.354,Rate is unstable interpret with caution
92586,2.178,0.055,70.135,Rate is unstable interpret with caution
92587,14.698,3.025,51.268,Rate is unstable interpret with caution
92590,0,,,Not applicable
92591,0,,,Not applicable
92592,6.219,1.632,18.224,Rate is unstable interpret with caution
92595,15.185,4.643,41.265,Rate may be unstable
92596,0,,,Not applicable
92860,0,,,Not applicable
92862,0,,,Not applicable
92879,6.161,1.268,24.133,Rate is unstable interpret with caution
92880,11.038,4.409,30.762,Rate may be unstable
92881,0,,,Not applicable
92882,2.793,0.324,14.096,Rate is unstable interpret with caution
92883,2.349,0.059,25.445,Rate is unstable interpret with caution
California,4.79,4.58,5.01,Rate is stable
Riverside,5.547,4.657,6.575,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
