Riverside Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91752,0,,,Not applicable
92028,6.512,1.703,20.445,Rate is unstable interpret with caution
92059,96.943,2.454,1314.079,Rate is unstable interpret with caution
92201,9.608,3.525,21.801,Rate may be unstable
92203,11.385,2.155,36.149,Rate is unstable interpret with caution
92210,34.934,0.884,5133.52,Rate is unstable interpret with caution
92211,0,,,Not applicable
92220,7.648,0.925,32.354,Rate is unstable interpret with caution
92223,8.258,2.202,22.348,Rate is unstable interpret with caution
92225,3.026,0.077,29.445,Rate is unstable interpret with caution
92230,0,,,Not applicable
92234,5.483,1.103,17.354,Rate is unstable interpret with caution
92236,1.677,0.042,29.722,Rate is unstable interpret with caution
92239,0,,,Not applicable
92240,12.535,3.264,35.397,Rate is unstable interpret with caution
92241,9.326,0.236,94.548,Rate is unstable interpret with caution
92253,1.168,0.03,16.783,Rate is unstable interpret with caution
92254,0,,,Not applicable
92260,0,,,Not applicable
92262,2.332,0.059,27.149,Rate is unstable interpret with caution
92264,17.059,3.443,74.493,Rate is unstable interpret with caution
92270,3.78,0.431,121.302,Rate is unstable interpret with caution
92274,0,,,Not applicable
92276,0,,,Not applicable
92282,0,,,Not applicable
92320,8.433,0.214,130.042,Rate is unstable interpret with caution
92324,0,,,Not applicable
92337,0,,,Not applicable
92373,2.121,0.054,19.645,Rate is unstable interpret with caution
92399,3.6,0.427,15.713,Rate is unstable interpret with caution
92501,11.169,0.283,62.229,Rate is unstable interpret with caution
92503,9.175,4.177,19.566,Rate may be unstable
92504,5.055,0.986,17.063,Rate is unstable interpret with caution
92505,3.128,0.371,16.552,Rate is unstable interpret with caution
92506,7.932,1.607,24.362,Rate is unstable interpret with caution
92507,11.831,3.709,31.32,Rate may be unstable
92508,0,,,Not applicable
92509,2.469,0.285,12.209,Rate is unstable interpret with caution
92518,0,,,Not applicable
92530,6.814,1.298,30.974,Rate is unstable interpret with caution
92532,0,,,Not applicable
92536,67.611,1.712,448.007,Rate is unstable interpret with caution
92539,0,,,Not applicable
92543,10.531,2.669,32.89,Rate is unstable interpret with caution
92544,8.059,1.64,24.173,Rate is unstable interpret with caution
92545,4.186,0.106,23.326,Rate is unstable interpret with caution
92548,0,,,Not applicable
92549,0,,,Not applicable
92551,3.492,0.088,87.699,Rate is unstable interpret with caution
92553,3.376,0.69,16.356,Rate is unstable interpret with caution
92555,0,,,Not applicable
92557,3.942,0.429,23.106,Rate is unstable interpret with caution
92561,0,,,Not applicable
92562,1.217,0.031,11.034,Rate is unstable interpret with caution
92563,3.298,0.399,16.455,Rate is unstable interpret with caution
92567,0,,,Not applicable
92570,2.845,0.342,13.766,Rate is unstable interpret with caution
92571,1.667,0.042,27.778,Rate is unstable interpret with caution
92582,7.638,0.193,57.125,Rate is unstable interpret with caution
92583,19.866,7.146,44.946,Rate may be unstable
92584,9.992,3.152,25.175,Rate may be unstable
92585,19.051,4.734,68.086,Rate is unstable interpret with caution
92586,14.01,1.978,82.831,Rate is unstable interpret with caution
92587,0,,,Not applicable
92590,0,,,Not applicable
92591,1.901,0.048,18.106,Rate is unstable interpret with caution
92592,3.032,0.364,12.885,Rate is unstable interpret with caution
92595,6.171,0.741,27.56,Rate is unstable interpret with caution
92596,4.945,0.125,49.603,Rate is unstable interpret with caution
92860,0,,,Not applicable
92862,0,,,Not applicable
92879,0,,,Not applicable
92880,3.392,0.409,18.57,Rate is unstable interpret with caution
92881,0,,,Not applicable
92882,3.815,0.754,16.311,Rate is unstable interpret with caution
92883,0,,,Not applicable
California,4.87,4.66,5.09,Rate is stable
Riverside,4.625,3.808,5.588,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
