Sacramento Deaths - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94571,39.365,4.633,199.263,Rate is unstable interpret with caution
95608,5.143,0.623,18.577,Rate is unstable interpret with caution
95610,3.579,0.43,16.166,Rate is unstable interpret with caution
95615,0,,,Not applicable
95621,6.522,1.323,21.414,Rate is unstable interpret with caution
95624,5.111,1.028,17.466,Rate is unstable interpret with caution
95626,0,,,Not applicable
95628,7.041,0.853,26.577,Rate is unstable interpret with caution
95630,5.01,1.361,15.586,Rate is unstable interpret with caution
95632,2.893,0.073,26.652,Rate is unstable interpret with caution
95638,0,,,Not applicable
95641,0,,,Not applicable
95652,0,,,Not applicable
95655,0,,,Not applicable
95660,20.332,6.283,52.74,Rate may be unstable
95662,8.12,0.974,31.04,Rate is unstable interpret with caution
95670,0,,,Not applicable
95673,8.131,0.206,60.96,Rate is unstable interpret with caution
95678,4.668,0.565,23.887,Rate is unstable interpret with caution
95683,0,,,Not applicable
95690,0,,,Not applicable
95693,0,,,Not applicable
95742,0,,,Not applicable
95757,1.932,0.049,38.605,Rate is unstable interpret with caution
95758,0,,,Not applicable
95811,0,,,Not applicable
95814,10.378,0.263,173.441,Rate is unstable interpret with caution
95815,20.839,6.443,60.211,Rate may be unstable
95816,5.958,0.151,92.214,Rate is unstable interpret with caution
95817,0,,,Not applicable
95818,4.61,0.117,37.064,Rate is unstable interpret with caution
95819,6.208,0.157,46.899,Rate is unstable interpret with caution
95820,6.104,0.728,25.547,Rate is unstable interpret with caution
95821,3.558,0.09,22.959,Rate is unstable interpret with caution
95822,2.297,0.058,16.143,Rate is unstable interpret with caution
95823,1.142,0.029,8.787,Rate is unstable interpret with caution
95824,5.875,0.708,33.805,Rate is unstable interpret with caution
95825,11.176,2.237,42.388,Rate is unstable interpret with caution
95826,6.732,0.815,25.838,Rate is unstable interpret with caution
95827,10.119,1.225,49.792,Rate is unstable interpret with caution
95828,5.301,1.092,18.298,Rate is unstable interpret with caution
95829,6.622,0.777,49.374,Rate is unstable interpret with caution
95830,0,,,Not applicable
95831,2.054,0.052,18.444,Rate is unstable interpret with caution
95832,0,,,Not applicable
95833,2.707,0.069,53.864,Rate is unstable interpret with caution
95834,5.151,0.13,280.847,Rate is unstable interpret with caution
95835,3.418,0.087,43.162,Rate is unstable interpret with caution
95836,0,,,Not applicable
95837,0,,,Not applicable
95838,12.033,3.257,40.665,Rate is unstable interpret with caution
95841,6.697,0.17,41.365,Rate is unstable interpret with caution
95842,10.36,2.09,37.576,Rate is unstable interpret with caution
95843,0,,,Not applicable
95864,7.249,0.753,36.556,Rate is unstable interpret with caution
California,4.832,4.615,5.058,Rate is stable
Sacramento,4.638,3.588,5.923,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
