Sacramento Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94571,87.773,8.139,374.794,Rate is unstable interpret with caution
95608,14.325,5.77,30.825,Rate may be unstable
95610,32.958,16.814,59.777,Rate is stable
95615,0,,,Not applicable
95621,16.154,5.67,38.065,Rate may be unstable
95624,3.594,0.435,13.254,Rate is unstable interpret with caution
95626,0,,,Not applicable
95628,16.694,5.834,39.159,Rate may be unstable
95630,8.539,3.297,19.185,Rate may be unstable
95632,9.165,1.771,30.994,Rate is unstable interpret with caution
95638,0,,,Not applicable
95641,312.185,7.904,2130.838,Rate is unstable interpret with caution
95652,0,,,Not applicable
95655,24.371,0.617,261.451,Rate is unstable interpret with caution
95660,39.69,20.308,73.729,Rate is stable
95662,7.771,1.334,29.581,Rate is unstable interpret with caution
95670,22.776,11.147,42.07,Rate may be unstable
95673,12.837,1.11,56.09,Rate is unstable interpret with caution
95678,4.495,0.522,18.308,Rate is unstable interpret with caution
95683,0,,,Not applicable
95690,0,,,Not applicable
95693,0,,,Not applicable
95742,16.238,1.955,107.045,Rate is unstable interpret with caution
95757,2.798,0.071,15.588,Rate is unstable interpret with caution
95758,4.686,0.957,16.391,Rate is unstable interpret with caution
95811,40.903,4.945,280.599,Rate is unstable interpret with caution
95814,14.741,1.517,263.526,Rate is unstable interpret with caution
95815,32.688,14.166,74.229,Rate may be unstable
95816,19.54,2.252,130.255,Rate is unstable interpret with caution
95817,33.827,5.123,125.276,Rate is unstable interpret with caution
95818,20.875,6.544,61.857,Rate may be unstable
95819,5.679,0.144,40.992,Rate is unstable interpret with caution
95820,31.539,15.337,59.468,Rate may be unstable
95821,30.479,15.279,59.086,Rate is stable
95822,13.235,4.736,31.577,Rate may be unstable
95823,16.817,8.482,30.973,Rate is stable
95824,24.249,8.821,55.1,Rate may be unstable
95825,12.569,2.984,40.304,Rate is unstable interpret with caution
95826,35.121,17.618,64.173,Rate is stable
95827,11.182,1.354,43.066,Rate is unstable interpret with caution
95828,11.814,4.241,26.856,Rate may be unstable
95829,11.793,2.381,36.26,Rate is unstable interpret with caution
95830,0,,,Not applicable
95831,11.174,2.986,30.494,Rate is unstable interpret with caution
95832,6.535,0.165,120.753,Rate is unstable interpret with caution
95833,17.266,6.162,42.537,Rate may be unstable
95834,11.68,2.864,35.444,Rate is unstable interpret with caution
95835,7.568,0.873,29.193,Rate is unstable interpret with caution
95837,0,,,Not applicable
95838,13.714,5.437,32.648,Rate may be unstable
95841,28.549,9.98,70.259,Rate may be unstable
95842,18.626,5.799,46.548,Rate may be unstable
95843,10.419,3.212,30.789,Rate may be unstable
95864,6.627,0.76,34.554,Rate is unstable interpret with caution
California,14.48,14.092,14.877,Rate is stable
Sacramento,15.312,13.375,17.47,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
