San Bernardino Deaths - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91701,0,,,Not applicable
91708,0,,,Not applicable
91709,1.319,0.033,14.275,Rate is unstable interpret with caution
91710,1.316,0.033,12.003,Rate is unstable interpret with caution
91730,0,,,Not applicable
91737,7.871,0.915,42.859,Rate is unstable interpret with caution
91739,0,,,Not applicable
91759,0,,,Not applicable
91761,0,,,Not applicable
91762,1.471,0.037,15.456,Rate is unstable interpret with caution
91763,0,,,Not applicable
91764,0,,,Not applicable
91765,0,,,Not applicable
91784,0,,,Not applicable
91786,8.141,2.2,23.398,Rate is unstable interpret with caution
92242,0,,,Not applicable
92252,22.538,0.571,125.573,Rate is unstable interpret with caution
92256,13.187,0.334,325.907,Rate is unstable interpret with caution
92267,0,,,Not applicable
92277,6.683,0.169,42.843,Rate is unstable interpret with caution
92278,14.351,0.363,2793.89,Rate is unstable interpret with caution
92280,0,,,Not applicable
92284,14.149,2.52,48.383,Rate is unstable interpret with caution
92285,0,,,Not applicable
92301,0,,,Not applicable
92304,0,,,Not applicable
92305,0,,,Not applicable
92307,9.691,2.604,30.33,Rate is unstable interpret with caution
92308,9.087,2.43,27.79,Rate is unstable interpret with caution
92309,0,,,Not applicable
92310,0,,,Not applicable
92311,2.114,0.054,21.899,Rate is unstable interpret with caution
92313,0,,,Not applicable
92314,18.971,2.128,120.727,Rate is unstable interpret with caution
92315,0,,,Not applicable
92316,0,,,Not applicable
92317,0,,,Not applicable
92321,0,,,Not applicable
92322,0,,,Not applicable
92324,0,,,Not applicable
92325,11.282,0.286,107.642,Rate is unstable interpret with caution
92327,0,,,Not applicable
92332,0,,,Not applicable
92335,3.127,0.634,17.778,Rate is unstable interpret with caution
92336,3.542,0.729,22.029,Rate is unstable interpret with caution
92337,2.84,0.072,48.638,Rate is unstable interpret with caution
92338,0,,,Not applicable
92339,0,,,Not applicable
92342,88.521,2.241,493.206,Rate is unstable interpret with caution
92344,0,,,Not applicable
92345,4.488,1.208,13.47,Rate is unstable interpret with caution
92346,1.948,0.049,14.133,Rate is unstable interpret with caution
92347,0,,,Not applicable
92350,0,,,Not applicable
92352,7.119,0.18,168.281,Rate is unstable interpret with caution
92354,0,,,Not applicable
92356,0,,,Not applicable
92358,0,,,Not applicable
92359,0,,,Not applicable
92363,22.086,0.559,189.191,Rate is unstable interpret with caution
92364,0,,,Not applicable
92365,0,,,Not applicable
92368,0,,,Not applicable
92371,0,,,Not applicable
92372,0,,,Not applicable
92373,3.034,0.077,19.873,Rate is unstable interpret with caution
92374,7.043,1.398,26.095,Rate is unstable interpret with caution
92376,0,,,Not applicable
92377,5.637,0.143,54.925,Rate is unstable interpret with caution
92382,14.86,0.376,168.284,Rate is unstable interpret with caution
92385,0,,,Not applicable
92392,2.066,0.052,24.501,Rate is unstable interpret with caution
92394,0,,,Not applicable
92395,2.272,0.058,16.013,Rate is unstable interpret with caution
92397,27.753,0.703,372.156,Rate is unstable interpret with caution
92399,6.146,1.665,18.075,Rate is unstable interpret with caution
92401,0,,,Not applicable
92404,1.847,0.047,13.177,Rate is unstable interpret with caution
92405,0,,,Not applicable
92407,1.742,0.044,21.364,Rate is unstable interpret with caution
92408,5.947,0.151,120.318,Rate is unstable interpret with caution
92410,5.54,0.67,31.485,Rate is unstable interpret with caution
92411,0,,,Not applicable
93528,0,,,Not applicable
93555,3.806,0.096,23.324,Rate is unstable interpret with caution
93562,0,,,Not applicable
California,4.832,4.615,5.058,Rate is stable
San Bernardino,2.88,2.19,3.752,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
