San Diego Deaths - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91901,19.979,4.011,75.962,Rate is unstable interpret with caution
91902,5.012,0.127,42.815,Rate is unstable interpret with caution
91905,65.779,1.665,4601.322,Rate is unstable interpret with caution
91906,27.339,0.692,353.617,Rate is unstable interpret with caution
91910,13.5,6.609,25.122,Rate may be unstable
91911,13.039,6.455,23.986,Rate may be unstable
91913,9.346,2.761,26.423,Rate may be unstable
91914,5.909,0.15,50.141,Rate is unstable interpret with caution
91915,13.029,3.454,87.263,Rate is unstable interpret with caution
91916,0,,,Not applicable
91917,0,,,Not applicable
91932,5.774,0.699,31.497,Rate is unstable interpret with caution
91934,0,,,Not applicable
91935,28.896,2.727,142.757,Rate is unstable interpret with caution
91941,8.364,1.551,30.468,Rate is unstable interpret with caution
91942,17.939,6.66,41.835,Rate may be unstable
91945,21.2,7.29,51.699,Rate may be unstable
91950,17.896,8.78,33.497,Rate may be unstable
91962,0,,,Not applicable
91963,0,,,Not applicable
91977,9.525,3.476,22.216,Rate may be unstable
91978,0,,,Not applicable
91980,0,,,Not applicable
92003,0,,,Not applicable
92004,255.029,30.885,1218.427,Rate is unstable interpret with caution
92007,13.522,2.418,101.485,Rate is unstable interpret with caution
92008,12.164,2.281,41.071,Rate is unstable interpret with caution
92009,15.544,6.166,38.435,Rate may be unstable
92010,27.754,5.392,85.593,Rate is unstable interpret with caution
92011,22.643,5.412,69.342,Rate is unstable interpret with caution
92014,18.818,2.118,136.673,Rate is unstable interpret with caution
92019,9.001,2.258,25.554,Rate is unstable interpret with caution
92020,15.494,6.983,31.121,Rate may be unstable
92021,20.899,11.693,35.694,Rate is stable
92024,20.053,9.676,41.142,Rate may be unstable
92025,13.51,5.693,28.404,Rate may be unstable
92026,30.123,16.99,50.787,Rate is stable
92027,16.29,7.282,32.325,Rate may be unstable
92028,17.011,7.115,36.12,Rate may be unstable
92029,16.95,3.4,58.699,Rate is unstable interpret with caution
92036,53.439,2.993,767.457,Rate is unstable interpret with caution
92037,11.179,2.768,32.345,Rate is unstable interpret with caution
92040,25.481,12.948,46.747,Rate is stable
92054,24.995,10.77,51.065,Rate may be unstable
92055,7.735,0.196,1047.42,Rate is unstable interpret with caution
92056,13.76,5.368,31.531,Rate may be unstable
92057,11.596,4.565,25.083,Rate may be unstable
92058,10.093,2.749,32.019,Rate is unstable interpret with caution
92059,129.251,3.272,809.121,Rate is unstable interpret with caution
92061,469.082,18.119,2450.655,Rate is unstable interpret with caution
92064,9.71,2.628,26.042,Rate is unstable interpret with caution
92065,11.939,3.03,32.95,Rate is unstable interpret with caution
92066,0,,,Not applicable
92067,28.523,0.722,162.217,Rate is unstable interpret with caution
92069,15.881,6.748,33.102,Rate may be unstable
92070,0,,,Not applicable
92071,16.135,7.22,31.981,Rate may be unstable
92075,7.059,0.179,60.877,Rate is unstable interpret with caution
92078,12.644,4.523,29.499,Rate may be unstable
92081,19.866,7.162,46.762,Rate may be unstable
92082,12.718,1.534,50.582,Rate is unstable interpret with caution
92083,31.307,15.523,60.55,Rate may be unstable
92084,14.83,6.338,30.742,Rate may be unstable
92086,0,,,Not applicable
92091,1188.83,30.099,6623.738,Rate is unstable interpret with caution
92101,44.274,20.547,140.498,Rate may be unstable
92102,25.083,12.916,47.221,Rate is stable
92103,17.03,6.525,60.93,Rate may be unstable
92104,29.241,15.309,57.014,Rate is stable
