San Joaquin Deaths - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94513,9.376,2.912,24.267,Rate may be unstable
94514,0,,,Not applicable
95202,63.653,11.935,227.537,Rate is unstable interpret with caution
95203,13.093,1.583,58.887,Rate is unstable interpret with caution
95204,4.66,0.118,27.201,Rate is unstable interpret with caution
95205,5.937,0.717,29.127,Rate is unstable interpret with caution
95206,8.995,2.886,24.965,Rate may be unstable
95207,4.343,0.504,18.428,Rate is unstable interpret with caution
95209,8.795,2.336,25.532,Rate is unstable interpret with caution
95210,0,,,Not applicable
95211,0,,,Not applicable
95212,12.318,2.497,59.349,Rate is unstable interpret with caution
95215,13.698,1.659,49.481,Rate is unstable interpret with caution
95219,2.346,0.059,25.03,Rate is unstable interpret with caution
95220,0,,,Not applicable
95230,0,,,Not applicable
95231,0,,,Not applicable
95236,0,,,Not applicable
95237,0,,,Not applicable
95240,8.843,2.321,24.515,Rate is unstable interpret with caution
95242,0,,,Not applicable
95258,0,,,Not applicable
95304,0,,,Not applicable
95320,0,,,Not applicable
95330,5.752,0.146,86.447,Rate is unstable interpret with caution
95336,4.52,0.547,18.412,Rate is unstable interpret with caution
95337,3.278,0.083,39.282,Rate is unstable interpret with caution
95361,0,,,Not applicable
95366,13.652,1.566,57.333,Rate is unstable interpret with caution
95376,10.321,3.332,28.029,Rate may be unstable
95377,3.497,0.089,50.616,Rate is unstable interpret with caution
95385,0,,,Not applicable
95391,0,,,Not applicable
95632,3.46,0.088,24.904,Rate is unstable interpret with caution
95690,0,,,Not applicable
California,4.3,4.095,4.508,Rate is stable
San Joaquin,5.8,4.205,7.94,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
