San Joaquin Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94513,1.997,0.051,12.661,Rate is unstable interpret with caution
94514,0,,,Not applicable
95202,23.064,2.793,118.617,Rate is unstable interpret with caution
95203,23.572,6.298,77.815,Rate is unstable interpret with caution
95204,2.378,0.06,24.721,Rate is unstable interpret with caution
95205,12.306,3.282,42.192,Rate is unstable interpret with caution
95206,6.364,1.715,20.23,Rate is unstable interpret with caution
95207,3.829,0.464,18.46,Rate is unstable interpret with caution
95209,4.73,0.573,18.98,Rate is unstable interpret with caution
95210,0,,,Not applicable
95211,0,,,Not applicable
95212,13.293,3.503,56.968,Rate is unstable interpret with caution
95215,7.239,0.848,32.069,Rate is unstable interpret with caution
95219,0,,,Not applicable
95220,0,,,Not applicable
95230,0,,,Not applicable
95231,0,,,Not applicable
95236,0,,,Not applicable
95237,0,,,Not applicable
95240,8.084,2.132,22.951,Rate is unstable interpret with caution
95242,12.092,2.336,40.525,Rate is unstable interpret with caution
95258,0,,,Not applicable
95304,0,,,Not applicable
95320,17.127,2.028,73.304,Rate is unstable interpret with caution
95330,0,,,Not applicable
95336,8.132,2.129,22.641,Rate is unstable interpret with caution
95337,15.819,5.661,40.465,Rate may be unstable
95361,0,,,Not applicable
95366,4.355,0.11,37.499,Rate is unstable interpret with caution
95376,7.989,2.172,23.962,Rate is unstable interpret with caution
95377,9.809,1.991,54.321,Rate is unstable interpret with caution
95385,0,,,Not applicable
95391,9.73,0.246,407.95,Rate is unstable interpret with caution
95632,9.057,1.867,30.393,Rate is unstable interpret with caution
95690,0,,,Not applicable
California,4.87,4.66,5.09,Rate is stable
San Joaquin,6.8,5.095,8.975,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
