San Luis Obispo Deaths - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93252,0,,,Not applicable
93401,25.082,7.632,65.3,Rate may be unstable
93402,2.929,0.074,51.095,Rate is unstable interpret with caution
93405,14.65,2.925,65.094,Rate is unstable interpret with caution
93407,0,,,Not applicable
93420,5.564,0.141,31.957,Rate is unstable interpret with caution
93422,3.374,0.085,28.881,Rate is unstable interpret with caution
93426,0,,,Not applicable
93428,17.837,0.452,191.493,Rate is unstable interpret with caution
93430,99.588,6.423,1723.18,Rate is unstable interpret with caution
93432,0,,,Not applicable
93433,0,,,Not applicable
93442,26.933,2.441,120.539,Rate is unstable interpret with caution
93444,17.445,3.203,58.213,Rate is unstable interpret with caution
93445,0,,,Not applicable
93446,0,,,Not applicable
93449,0,,,Not applicable
93451,0,,,Not applicable
93452,0,,,Not applicable
93453,0,,,Not applicable
93454,3.086,0.078,19.714,Rate is unstable interpret with caution
93461,0,,,Not applicable
93465,13.377,0.339,91.837,Rate is unstable interpret with caution
California,4.793,4.577,5.015,Rate is stable
San Luis Obispo,8.627,5.298,13.54,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
