San Mateo Deaths - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94002,2.55,0.065,31.122,Rate is unstable interpret with caution
94005,12.133,0.307,290.919,Rate is unstable interpret with caution
94010,5.704,0.643,29.931,Rate is unstable interpret with caution
94014,22.407,11.01,42.805,Rate may be unstable
94015,14.378,6.485,30.272,Rate may be unstable
94019,11.826,1.369,50.583,Rate is unstable interpret with caution
94020,0,,,Not applicable
94021,0,,,Not applicable
94025,10.092,2.699,28.144,Rate is unstable interpret with caution
94027,0,,,Not applicable
94028,0,,,Not applicable
94030,13.2,2.668,48.114,Rate is unstable interpret with caution
94038,63.078,1.597,1208.955,Rate is unstable interpret with caution
94044,27.156,13.401,51.578,Rate may be unstable
94060,0,,,Not applicable
94061,1.824,0.046,16.721,Rate is unstable interpret with caution
94062,6.382,1.268,30.724,Rate is unstable interpret with caution
94063,19.465,7.001,48.167,Rate may be unstable
94065,7.043,0.178,75.059,Rate is unstable interpret with caution
94066,7.143,1.454,23.743,Rate is unstable interpret with caution
94070,4.565,0.53,32.874,Rate is unstable interpret with caution
94074,0,,,Not applicable
94080,5.124,1.348,15.634,Rate is unstable interpret with caution
94128,0,,,Not applicable
94303,11.083,4.017,27.019,Rate may be unstable
94401,3.849,0.454,22.533,Rate is unstable interpret with caution
94402,0,,,Not applicable
94403,12.776,4.581,31.599,Rate may be unstable
94404,0,,,Not applicable
California,13.543,13.18,13.91,Rate is stable
San Mateo,10.065,7.963,12.61,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
