Santa Barbara Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93013,5.105,0.129,43.704,Rate is unstable interpret with caution
93067,0,,,Not applicable
93101,14.676,3.948,45.87,Rate is unstable interpret with caution
93103,14.447,2.554,50.733,Rate is unstable interpret with caution
93105,0,,,Not applicable
93106,0,,,Not applicable
93108,16.643,2.944,116.54,Rate is unstable interpret with caution
93109,0,,,Not applicable
93110,7.699,0.195,54.102,Rate is unstable interpret with caution
93111,10.921,1.215,47.463,Rate is unstable interpret with caution
93117,14.983,4.924,37.12,Rate may be unstable
93252,0,,,Not applicable
93254,0,,,Not applicable
93427,0,,,Not applicable
93429,0,,,Not applicable
93434,0,,,Not applicable
93436,4.933,0.966,16.724,Rate is unstable interpret with caution
93437,0,,,Not applicable
93441,0,,,Not applicable
93454,13.299,4.154,34.36,Rate may be unstable
93455,2.492,0.063,16.529,Rate is unstable interpret with caution
93458,3.779,0.429,18.201,Rate is unstable interpret with caution
93460,0,,,Not applicable
93463,22.468,0.569,141.868,Rate is unstable interpret with caution
California,4.87,4.66,5.09,Rate is stable
Santa Barbara,7.385,4.982,10.688,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
