Santa Clara Deaths - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,18.422,0.466,102.642,Rate is unstable interpret with caution
94024,0,,,Not applicable
94040,2.14,0.054,20.121,Rate is unstable interpret with caution
94041,4.335,0.11,67.197,Rate is unstable interpret with caution
94043,4.751,0.12,32.916,Rate is unstable interpret with caution
94085,8.637,1.046,63.364,Rate is unstable interpret with caution
94086,1.644,0.042,19.949,Rate is unstable interpret with caution
94087,0,,,Not applicable
94089,6.084,0.154,46.367,Rate is unstable interpret with caution
94301,0,,,Not applicable
94303,11.083,4.017,27.019,Rate may be unstable
94304,0,,,Not applicable
94305,0,,,Not applicable
94306,6.604,0.794,30.124,Rate is unstable interpret with caution
94550,5.739,1.176,21.266,Rate is unstable interpret with caution
95002,0,,,Not applicable
95008,5.836,1.184,21.442,Rate is unstable interpret with caution
95013,0,,,Not applicable
95014,10.339,3.546,27.307,Rate may be unstable
95020,11.42,4.405,25.067,Rate may be unstable
95023,6.324,1.267,19.284,Rate is unstable interpret with caution
95030,11.251,0.285,100.332,Rate is unstable interpret with caution
95032,11.217,0.284,62.497,Rate is unstable interpret with caution
95033,39.111,4.114,158.862,Rate is unstable interpret with caution
95035,2.76,0.289,11.978,Rate is unstable interpret with caution
95037,6.848,1.333,21.73,Rate is unstable interpret with caution
95046,0,,,Not applicable
95050,8.687,2.265,28.755,Rate is unstable interpret with caution
95051,3.295,0.273,15.27,Rate is unstable interpret with caution
95053,0,,,Not applicable
95054,4.944,0.594,34.996,Rate is unstable interpret with caution
95070,11.562,1.095,53.068,Rate is unstable interpret with caution
95076,4.309,1.076,12.339,Rate is unstable interpret with caution
95110,14.551,2.525,114.277,Rate is unstable interpret with caution
95111,9.861,3.883,24.805,Rate may be unstable
95112,13.531,6.395,28.377,Rate may be unstable
95113,0,,,Not applicable
95116,5.678,1.101,17.97,Rate is unstable interpret with caution
95117,4.827,0.122,33.063,Rate is unstable interpret with caution
95118,6.17,0.746,30.704,Rate is unstable interpret with caution
95119,26.083,5.008,92.228,Rate is unstable interpret with caution
95120,16.527,2.938,55.998,Rate is unstable interpret with caution
95121,10.179,2.619,29.843,Rate is unstable interpret with caution
95122,13.689,5.443,29.343,Rate may be unstable
95123,6.814,2.169,17.68,Rate may be unstable
95124,3.734,0.095,20.803,Rate is unstable interpret with caution
95125,14.717,6.057,32.573,Rate may be unstable
95126,8.423,1.615,29.976,Rate is unstable interpret with caution
95127,10.258,4.354,21.419,Rate may be unstable
95128,12.108,3.279,35.023,Rate is unstable interpret with caution
95129,12.729,4.069,33.435,Rate may be unstable
95130,14.58,0.369,85.626,Rate is unstable interpret with caution
95131,8.159,1.669,30.817,Rate is unstable interpret with caution
95132,2.131,0.054,15.448,Rate is unstable interpret with caution
95133,5.109,0.129,28.464,Rate is unstable interpret with caution
95134,0.995,0.025,97.143,Rate is unstable interpret with caution
95135,0,,,Not applicable
95136,14.262,5.635,32.044,Rate may be unstable
95138,7.06,0.855,40.543,Rate is unstable interpret with caution
95139,0,,,Not applicable
95140,0,,,Not applicable
95148,4.375,0.518,19.359,Rate is unstable interpret with caution
California,13.543,13.18,13.91,Rate is stable
Santa Clara,7.095,5.967,8.392,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
