Santa Clara Deaths - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,3.025,0.077,53.022,Rate is unstable interpret with caution
94024,17.407,2.091,72.664,Rate is unstable interpret with caution
94040,4.693,0.554,21.156,Rate is unstable interpret with caution
94041,30.349,4.758,111.76,Rate is unstable interpret with caution
94043,7.673,0.859,32.372,Rate is unstable interpret with caution
94085,15.175,2.921,66.811,Rate is unstable interpret with caution
94086,1.539,0.039,20.011,Rate is unstable interpret with caution
94087,9.477,3.029,25.976,Rate may be unstable
94089,0,,,Not applicable
94301,0,,,Not applicable
94303,7.03,1.377,21.638,Rate is unstable interpret with caution
94304,0,,,Not applicable
94305,0,,,Not applicable
94306,3.365,0.085,25.314,Rate is unstable interpret with caution
94550,12.008,4.282,28.939,Rate may be unstable
95002,0,,,Not applicable
95008,13.43,4.854,31.819,Rate may be unstable
95013,0,,,Not applicable
95014,0,,,Not applicable
95020,14.827,6.602,29.25,Rate may be unstable
95023,25.167,13.208,44.84,Rate is stable
95030,0,,,Not applicable
95032,9.51,0.949,58.615,Rate is unstable interpret with caution
95033,10.998,0.278,112.928,Rate is unstable interpret with caution
95035,8.787,2.852,20.963,Rate may be unstable
95037,17.135,7.329,34.94,Rate may be unstable
95046,14.258,0.361,171.435,Rate is unstable interpret with caution
95050,11.466,2.985,33.606,Rate is unstable interpret with caution
95051,9.347,3.279,24.286,Rate may be unstable
95053,0,,,Not applicable
95054,9.362,0.768,46.703,Rate is unstable interpret with caution
95070,21.482,5.154,73.527,Rate is unstable interpret with caution
95076,30.389,18.81,46.758,Rate is stable
95110,38.148,15.645,124.591,Rate may be unstable
95111,11.535,4.618,25.104,Rate may be unstable
95112,40.83,24.497,65.529,Rate is stable
95113,123.068,3.116,2744.212,Rate is unstable interpret with caution
95116,12.048,4.778,26.36,Rate may be unstable
95117,16,5.697,42.628,Rate may be unstable
95118,7.191,0.697,31.67,Rate is unstable interpret with caution
95119,4.923,0.125,61.315,Rate is unstable interpret with caution
95120,7.881,0.2,43.909,Rate is unstable interpret with caution
95121,4.933,0.479,24.345,Rate is unstable interpret with caution
95122,16.682,7.549,33.491,Rate may be unstable
95123,14.194,6.642,27.41,Rate may be unstable
95124,6.924,1.243,23.338,Rate is unstable interpret with caution
95125,8.331,2.962,22.425,Rate may be unstable
95126,20.199,7.377,45.434,Rate may be unstable
95127,15.165,6.853,30.109,Rate may be unstable
95128,11.571,3.547,33.61,Rate may be unstable
95129,12.718,4.022,31.946,Rate may be unstable
95130,17.737,3.277,83.995,Rate is unstable interpret with caution
95131,10.052,2.598,32.739,Rate is unstable interpret with caution
95132,6.391,1.192,22.078,Rate is unstable interpret with caution
95133,15.896,4.154,45.873,Rate is unstable interpret with caution
95134,13.2,1.599,87.693,Rate is unstable interpret with caution
95135,7.659,0.194,68.709,Rate is unstable interpret with caution
95136,3.771,0.439,16.376,Rate is unstable interpret with caution
95138,4.828,0.122,36.222,Rate is unstable interpret with caution
95139,0,,,Not applicable
95140,0,,,Not applicable
95148,2.229,0.056,15.599,Rate is unstable interpret with caution
California,20.812,20.34,21.29,Rate is stable
Santa Clara,10.982,9.488,12.668,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
