Santa Cruz Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95003,17.914,3.363,59.22,Rate is unstable interpret with caution
95005,0,,,Not applicable
95006,32.21,6.447,169.921,Rate is unstable interpret with caution
95010,0,,,Not applicable
95017,0,,,Not applicable
95018,0,,,Not applicable
95019,14.983,0.379,97.598,Rate is unstable interpret with caution
95033,4.696,0.119,99.534,Rate is unstable interpret with caution
95060,28.18,13.934,53.505,Rate may be unstable
95062,29.637,14.484,56.917,Rate may be unstable
95064,0,,,Not applicable
95065,12.734,0.322,101.219,Rate is unstable interpret with caution
95066,0,,,Not applicable
95073,24.721,4.198,93.594,Rate is unstable interpret with caution
95076,6.369,2.247,15.036,Rate may be unstable
California,18.028,17.602,18.458,Rate is stable
Santa Cruz,15.585,10.992,21.645,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
