Santa Cruz Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95003,29.563,7.898,78.353,Rate is unstable interpret with caution
95005,53.411,10.483,243.457,Rate is unstable interpret with caution
95006,0,,,Not applicable
95010,8.126,0.206,87.294,Rate is unstable interpret with caution
95017,82.532,2.09,6458.546,Rate is unstable interpret with caution
95018,31.772,2.993,157.291,Rate is unstable interpret with caution
95019,0,,,Not applicable
95033,10.184,0.258,106.582,Rate is unstable interpret with caution
95060,80.236,53.775,117.237,Rate is stable
95062,17.214,6.277,41.169,Rate may be unstable
95064,0,,,Not applicable
95065,14.108,0.357,104.871,Rate is unstable interpret with caution
95066,4.247,0.108,53.367,Rate is unstable interpret with caution
95073,30.617,6.312,102.8,Rate is unstable interpret with caution
95076,15.913,8.277,28.031,Rate is stable
California,18.66,18.23,19.098,Rate is stable
Santa Cruz,28.917,22.342,37.013,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
