Shasta Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96001,31.611,14.636,61.406,Rate may be unstable
96002,48.569,25.56,84.944,Rate is stable
96003,30.473,14.809,57.599,Rate may be unstable
96007,19.551,4.979,56.071,Rate is unstable interpret with caution
96008,19.206,0.486,12965.143,Rate is unstable interpret with caution
96013,0,,,Not applicable
96016,0,,,Not applicable
96019,37.25,7.07,121.49,Rate is unstable interpret with caution
96022,19.549,2.362,81.718,Rate is unstable interpret with caution
96025,165.786,19.247,709.215,Rate is unstable interpret with caution
96028,0,,,Not applicable
96033,0,,,Not applicable
96040,0,,,Not applicable
96047,0,,,Not applicable
96051,0,,,Not applicable
96056,0,,,Not applicable
96062,0,,,Not applicable
96065,0,,,Not applicable
96069,0,,,Not applicable
96071,0,,,Not applicable
96073,97.852,9.295,607.576,Rate is unstable interpret with caution
96076,0,,,Not applicable
96087,0,,,Not applicable
96088,164.098,26.605,589.686,Rate is unstable interpret with caution
96096,0,,,Not applicable
California,18.028,17.602,18.458,Rate is stable
Shasta,30.887,22.81,41.247,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
