Solano Deaths - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,0,,,Not applicable
94510,4.292,0.109,26.973,Rate is unstable interpret with caution
94512,0,,,Not applicable
94533,3.261,0.389,12.376,Rate is unstable interpret with caution
94534,8.939,1.801,27.993,Rate is unstable interpret with caution
94535,0,,,Not applicable
94571,0,,,Not applicable
94585,4.406,0.112,32.829,Rate is unstable interpret with caution
94589,6.767,0.695,27.784,Rate is unstable interpret with caution
94590,7.616,1.451,26.452,Rate is unstable interpret with caution
94591,0,,,Not applicable
94592,0,,,Not applicable
95616,4.056,0.103,25.185,Rate is unstable interpret with caution
95618,11.031,2.253,42.439,Rate is unstable interpret with caution
95620,10.556,1.278,45.975,Rate is unstable interpret with caution
95687,5.079,1.045,15.774,Rate is unstable interpret with caution
95688,8.838,1.769,27.85,Rate is unstable interpret with caution
95690,0,,,Not applicable
95694,0,,,Not applicable
California,4.935,4.713,5.162,Rate is stable
Solano,5.133,3.11,8.045,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
