Solano Deaths - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,6.249,0.158,36.717,Rate is unstable interpret with caution
94510,9.225,1.117,39.287,Rate is unstable interpret with caution
94512,0,,,Not applicable
94533,13.852,6.39,27.044,Rate may be unstable
94534,4.163,0.416,20.298,Rate is unstable interpret with caution
94535,0,,,Not applicable
94571,0,,,Not applicable
94585,17.633,4.722,47.264,Rate is unstable interpret with caution
94589,17.535,5.371,46.352,Rate may be unstable
94590,18.746,7.237,41.783,Rate may be unstable
94591,29.017,15.655,50.262,Rate is stable
94592,0,,,Not applicable
95616,8.022,0.966,34.55,Rate is unstable interpret with caution
95618,5.363,0.136,30.317,Rate is unstable interpret with caution
95620,12.356,2.416,44.576,Rate is unstable interpret with caution
95687,15.91,7.724,30.016,Rate may be unstable
95688,15.646,4.985,37.993,Rate may be unstable
95690,0,,,Not applicable
95694,15.987,1.936,89.02,Rate is unstable interpret with caution
California,20.812,20.34,21.29,Rate is stable
Solano,15.99,12.402,20.368,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
