Sonoma Deaths - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94515,9.956,0.252,101.571,Rate is unstable interpret with caution
94922,0,,,Not applicable
94923,0,,,Not applicable
94928,4.872,0.523,23.269,Rate is unstable interpret with caution
94931,0,,,Not applicable
94951,0,,,Not applicable
94952,3.541,0.09,21.406,Rate is unstable interpret with caution
94954,3.225,0.082,19.772,Rate is unstable interpret with caution
94972,0,,,Not applicable
95401,2.888,0.073,19.555,Rate is unstable interpret with caution
95403,3.7,0.448,16.031,Rate is unstable interpret with caution
95404,0,,,Not applicable
95405,0,,,Not applicable
95407,0,,,Not applicable
95409,0,,,Not applicable
95412,0,,,Not applicable
95421,0,,,Not applicable
95425,14.893,0.377,97.214,Rate is unstable interpret with caution
95436,0,,,Not applicable
95439,0,,,Not applicable
95441,0,,,Not applicable
95442,0,,,Not applicable
95444,0,,,Not applicable
95446,0,,,Not applicable
95448,0,,,Not applicable
95450,0,,,Not applicable
95452,0,,,Not applicable
95462,0,,,Not applicable
95465,0,,,Not applicable
95472,4.396,0.111,32.594,Rate is unstable interpret with caution
95476,5.941,0.861,24.12,Rate is unstable interpret with caution
95480,0,,,Not applicable
95492,0,,,Not applicable
95497,0,,,Not applicable
California,4.793,4.577,5.015,Rate is stable
Sonoma,2.347,1.278,4.21,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
