Stanislaus Deaths - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95230,0,,,Not applicable
95307,7.029,1.405,22.461,Rate is unstable interpret with caution
95313,0,,,Not applicable
95316,17.132,0.434,111.159,Rate is unstable interpret with caution
95322,0,,,Not applicable
95323,0,,,Not applicable
95326,0,,,Not applicable
95329,0,,,Not applicable
95350,13.37,5.477,29.47,Rate may be unstable
95351,8.624,2.318,24.673,Rate is unstable interpret with caution
95354,9.217,1.836,34.62,Rate is unstable interpret with caution
95355,3.121,0.316,13.155,Rate is unstable interpret with caution
95356,3.694,0.094,22.794,Rate is unstable interpret with caution
95357,10.747,0.272,73.937,Rate is unstable interpret with caution
95358,5.093,0.61,25.891,Rate is unstable interpret with caution
95360,6.699,0.17,186.108,Rate is unstable interpret with caution
95361,1.972,0.05,16.617,Rate is unstable interpret with caution
95363,3.29,0.083,36.7,Rate is unstable interpret with caution
95367,9.61,1.92,37.307,Rate is unstable interpret with caution
95368,0,,,Not applicable
95380,7.141,1.442,24.335,Rate is unstable interpret with caution
95382,2.729,0.069,17.689,Rate is unstable interpret with caution
95385,0,,,Not applicable
95386,8.365,0.212,129.828,Rate is unstable interpret with caution
California,5.82,5.59,6.062,Rate is stable
Stanislaus,5.957,4.188,8.37,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
