Stanislaus Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95230,0,,,Not applicable
95307,22.522,10.186,44.403,Rate may be unstable
95313,0,,,Not applicable
95316,0,,,Not applicable
95322,0,,,Not applicable
95323,0,,,Not applicable
95326,10.134,0.257,67.23,Rate is unstable interpret with caution
95329,0,,,Not applicable
95350,27.421,14.655,48.11,Rate is stable
95351,18.569,8.051,42.722,Rate may be unstable
95354,53.16,27.141,98.265,Rate is stable
95355,33.059,19.85,52.306,Rate is stable
95356,20.722,7.933,45.727,Rate may be unstable
95357,10.931,0.277,63.559,Rate is unstable interpret with caution
95358,19.209,6.688,47.159,Rate may be unstable
95360,0,,,Not applicable
95361,10.009,2.427,30.616,Rate is unstable interpret with caution
95363,22.636,8.112,54.179,Rate may be unstable
95367,5.914,0.15,32.95,Rate is unstable interpret with caution
95368,11.234,1.162,80.816,Rate is unstable interpret with caution
95380,25.927,12.103,49.813,Rate may be unstable
95382,16.87,6.121,38.261,Rate may be unstable
95385,0,,,Not applicable
95386,6.554,0.166,96.026,Rate is unstable interpret with caution
California,18.028,17.602,18.458,Rate is stable
Stanislaus,19.632,16.025,23.875,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
