Tulare Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93207,0,,,Not applicable
93212,3.965,0.1,32.077,Rate is unstable interpret with caution
93215,3.763,0.456,19.011,Rate is unstable interpret with caution
93219,8.324,0.211,105.743,Rate is unstable interpret with caution
93221,26.221,5.258,80.806,Rate is unstable interpret with caution
93223,8.131,0.206,118.312,Rate is unstable interpret with caution
93235,22.074,0.559,468.843,Rate is unstable interpret with caution
93244,0,,,Not applicable
93247,17.719,3.529,65.772,Rate is unstable interpret with caution
93256,30.406,0.77,346.241,Rate is unstable interpret with caution
93257,8.81,3.221,20.384,Rate may be unstable
93260,0,,,Not applicable
93262,0,,,Not applicable
93265,0,,,Not applicable
93267,36.747,4.382,281.151,Rate is unstable interpret with caution
93270,0,,,Not applicable
93271,0,,,Not applicable
93272,0,,,Not applicable
93274,19.949,10.595,35.37,Rate is stable
93277,19.842,8.832,39.85,Rate may be unstable
93286,17.726,0.449,100.753,Rate is unstable interpret with caution
93291,18.575,8.502,43.734,Rate may be unstable
93292,12.545,3.339,33.66,Rate is unstable interpret with caution
93527,57.603,1.458,1080.364,Rate is unstable interpret with caution
93603,0,,,Not applicable
93615,0,,,Not applicable
93618,0,,,Not applicable
93631,6.367,0.161,48.605,Rate is unstable interpret with caution
93633,0,,,Not applicable
93646,0,,,Not applicable
93647,0,,,Not applicable
93654,4.94,0.125,27.68,Rate is unstable interpret with caution
California,18.028,17.602,18.458,Rate is stable
Tulare,12.867,9.832,16.652,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
