Tuolumne Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95309,0,,,Not applicable
95310,0,,,Not applicable
95311,137.197,11.824,3493.376,Rate is unstable interpret with caution
95321,0,,,Not applicable
95327,8.802,0.223,140.304,Rate is unstable interpret with caution
95329,0,,,Not applicable
95335,0,,,Not applicable
95346,66.181,1.676,1172.657,Rate is unstable interpret with caution
95364,0,,,Not applicable
95370,26.018,9.503,60.661,Rate may be unstable
95372,0,,,Not applicable
95379,49.175,1.245,310.099,Rate is unstable interpret with caution
95383,0,,,Not applicable
California,18.028,17.602,18.458,Rate is stable
Tuolumne,23.157,11.288,44.608,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
