Ventura Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90265,0,,,Not applicable
91301,0,,,Not applicable
91307,13.489,2.641,44.113,Rate is unstable interpret with caution
91320,2.709,0.069,16.823,Rate is unstable interpret with caution
91360,3.603,0.091,20.076,Rate is unstable interpret with caution
91361,0,,,Not applicable
91362,9.774,2.427,33.352,Rate is unstable interpret with caution
91377,7.342,0.861,62.208,Rate is unstable interpret with caution
93001,9.258,2.409,33.063,Rate is unstable interpret with caution
93003,10.333,3.947,24.086,Rate may be unstable
93004,6.323,0.667,27.228,Rate is unstable interpret with caution
93010,5.964,1.189,20.608,Rate is unstable interpret with caution
93012,8.426,1.626,28.201,Rate is unstable interpret with caution
93015,7.391,0.187,48.819,Rate is unstable interpret with caution
93021,2.876,0.073,22.148,Rate is unstable interpret with caution
93022,0,,,Not applicable
93023,21.381,3.496,70.815,Rate is unstable interpret with caution
93030,5.994,1.623,18.385,Rate is unstable interpret with caution
93033,2.337,0.28,11.215,Rate is unstable interpret with caution
93035,12.532,3.146,41.121,Rate is unstable interpret with caution
93036,7.515,1.526,25.764,Rate is unstable interpret with caution
93041,0,,,Not applicable
93042,0,,,Not applicable
93043,0,,,Not applicable
93060,3.069,0.078,21.186,Rate is unstable interpret with caution
93063,6.365,1.592,21.386,Rate is unstable interpret with caution
93065,2.604,0.269,11.041,Rate is unstable interpret with caution
93066,0,,,Not applicable
93225,11.634,0.295,173.373,Rate is unstable interpret with caution
93243,0,,,Not applicable
93252,0,,,Not applicable
California,4.79,4.58,5.01,Rate is stable
Ventura,5.64,4.205,7.475,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
