Ventura Deaths - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90265,3.861,0.098,42.259,Rate is unstable interpret with caution
91301,5.512,0.14,33.191,Rate is unstable interpret with caution
91307,4.141,0.105,28.807,Rate is unstable interpret with caution
91320,11.015,3.419,29.065,Rate may be unstable
91360,15.004,4.75,36.488,Rate may be unstable
91361,4.946,0.598,38.92,Rate is unstable interpret with caution
91362,7.244,0.877,29.307,Rate is unstable interpret with caution
91377,3.828,0.097,78.477,Rate is unstable interpret with caution
93001,1.639,0.041,21.801,Rate is unstable interpret with caution
93003,18.405,8.618,36.461,Rate may be unstable
93004,14.212,3.619,39.564,Rate is unstable interpret with caution
93010,9.205,2.792,25.244,Rate may be unstable
93012,13.796,3.566,39.081,Rate is unstable interpret with caution
93015,5.551,0.141,38.665,Rate is unstable interpret with caution
93021,13.83,4.295,35.509,Rate may be unstable
93022,0,,,Not applicable
93023,7.44,0.655,43.33,Rate is unstable interpret with caution
93030,13.574,5.736,29.506,Rate may be unstable
93033,7.624,2.733,18.181,Rate may be unstable
93035,12.848,3.372,37.421,Rate is unstable interpret with caution
93036,11.56,4.168,28.725,Rate may be unstable
93041,2.053,0.052,32.201,Rate is unstable interpret with caution
93042,0,,,Not applicable
93043,0,,,Not applicable
93060,10.561,2.832,31.017,Rate is unstable interpret with caution
93063,6.85,1.781,19.803,Rate is unstable interpret with caution
93065,13.772,6.425,26.398,Rate may be unstable
93066,0,,,Not applicable
93225,26.664,0.675,222.214,Rate is unstable interpret with caution
93243,0,,,Not applicable
93252,0,,,Not applicable
California,7.905,7.631,8.186,Rate is stable
Ventura,10.047,8.025,12.482,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
