Yuba Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95692,0,,,Not applicable
95901,36.629,18.387,67.256,Rate is stable
95903,34.02,0.861,2240.401,Rate is unstable interpret with caution
95914,0,,,Not applicable
95918,0,,,Not applicable
95919,0,,,Not applicable
95922,0,,,Not applicable
95925,265.903,6.732,2284.412,Rate is unstable interpret with caution
95935,0,,,Not applicable
95941,0,,,Not applicable
95960,238.703,6.043,2920.299,Rate is unstable interpret with caution
95961,11.92,3.078,40.675,Rate is unstable interpret with caution
95962,67.412,1.707,906.619,Rate is unstable interpret with caution
95966,61.822,35.197,103.027,Rate is stable
95977,0,,,Not applicable
95981,0,,,Not applicable
California,18.66,18.23,19.098,Rate is stable
Yuba,27.913,25.077,53.933,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
