Alameda ED Visits - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94501,8.632,3.132,20.848,Rate may be unstable
94502,0,,,Not applicable
94514,0,,,Not applicable
94536,13.121,5.915,25.901,Rate may be unstable
94538,10.95,4.342,24.978,Rate may be unstable
94539,7.315,1.343,24.077,Rate is unstable interpret with caution
94541,34.539,21.161,54.662,Rate is stable
94542,9.964,0.252,95.623,Rate is unstable interpret with caution
94544,12.875,6.33,26.35,Rate may be unstable
94545,13.766,3.701,37.847,Rate is unstable interpret with caution
94546,27.42,13.441,50.709,Rate may be unstable
94550,25.79,12.727,47.893,Rate may be unstable
94551,13.541,4.373,39.467,Rate may be unstable
94552,12.509,0.317,69.695,Rate is unstable interpret with caution
94555,15.511,4.08,43.033,Rate is unstable interpret with caution
94560,3.799,0.455,17.302,Rate is unstable interpret with caution
94566,6.483,1.316,23.767,Rate is unstable interpret with caution
94568,13.701,3.966,42.799,Rate may be unstable
94577,15.905,6.69,33.324,Rate may be unstable
94578,27.588,13.427,53.409,Rate may be unstable
94579,24.126,7.445,62.161,Rate may be unstable
94580,9.704,1.977,31.733,Rate is unstable interpret with caution
94586,0,,,Not applicable
94587,6.519,1.68,18.358,Rate is unstable interpret with caution
94588,23.445,8.926,60.923,Rate may be unstable
94601,23.742,11.664,45.116,Rate may be unstable
94602,19.889,8.365,44.323,Rate may be unstable
94603,36.592,17.729,72.662,Rate may be unstable
94605,18.438,7.335,40.155,Rate may be unstable
94606,14.154,5.116,35.348,Rate may be unstable
94607,65.101,37.529,109.404,Rate is stable
94608,56.786,27.198,111.413,Rate may be unstable
94609,48.009,21.22,104.812,Rate may be unstable
94610,20.66,8.132,58.221,Rate may be unstable
94611,6.319,0.16,35.207,Rate is unstable interpret with caution
94612,15.065,1.715,108.941,Rate is unstable interpret with caution
94613,0,,,Not applicable
94618,0,,,Not applicable
94619,7.207,0.768,31.586,Rate is unstable interpret with caution
94621,32.741,13.812,72.72,Rate may be unstable
94702,18.092,3.311,67.355,Rate is unstable interpret with caution
94703,32.182,13.385,75.663,Rate may be unstable
94704,2.979,0.075,281.624,Rate is unstable interpret with caution
94705,11.509,1.209,85.635,Rate is unstable interpret with caution
94706,0,,,Not applicable
94707,0,,,Not applicable
94708,12.991,0.329,104.971,Rate is unstable interpret with caution
94709,11.811,0.299,154.34,Rate is unstable interpret with caution
94710,48.247,6.909,329.275,Rate is unstable interpret with caution
94720,4.111,0.104,2262.005,Rate is unstable interpret with caution
95391,0,,,Not applicable
Alameda,16.177,14.273,18.298,Rate is stable
California,16.885,16.48,17.305,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
