Amador ED Visits - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,0,,,Not applicable
95640,322.623,229.488,455.914,Rate is stable
95642,83.339,20.977,240.413,Rate is unstable interpret with caution
95665,26.377,1.82,887.542,Rate is unstable interpret with caution
95666,36.8,1.648,282.439,Rate is unstable interpret with caution
95669,37.69,0.954,756.351,Rate is unstable interpret with caution
95685,51.925,6.288,295.743,Rate is unstable interpret with caution
95689,0,,,Not applicable
Amador,80.945,53.125,121.218,Rate is stable
California,46.2,45.495,46.913,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
