Butte ED Visits - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95901,11.966,3.235,34.44,Rate is unstable interpret with caution
95914,0,,,Not applicable
95916,0,,,Not applicable
95917,0,,,Not applicable
95926,58.09,34.135,94.758,Rate is stable
95928,25.836,11.697,52.027,Rate may be unstable
95938,0,,,Not applicable
95941,0,,,Not applicable
95942,29.545,0.748,658.112,Rate is unstable interpret with caution
95948,20.091,2.3,81.367,Rate is unstable interpret with caution
95954,19.219,2.328,80.597,Rate is unstable interpret with caution
95965,23.035,7.44,60.464,Rate may be unstable
95966,40.158,19.649,75.655,Rate may be unstable
95968,0,,,Not applicable
95969,40.882,19.037,80.665,Rate may be unstable
95973,7.318,0.865,27.646,Rate is unstable interpret with caution
Butte,28.983,22.292,37.4,Rate is stable
California,14.69,14.308,15.085,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
