Calaveras ED Visits - by Zip Code 2014,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95222,29.438,5.718,339.308,Rate is unstable interpret with caution
95223,109.268,2.766,834.859,Rate is unstable interpret with caution
95228,47.188,4.788,461.342,Rate is unstable interpret with caution
95230,0,,,Not applicable
95232,0,,,Not applicable
95236,0,,,Not applicable
95245,27.375,0.693,1221.138,Rate is unstable interpret with caution
95246,0,,,Not applicable
95247,0,,,Not applicable
95249,72.938,8.069,313.445,Rate is unstable interpret with caution
95251,126.821,3.211,984.949,Rate is unstable interpret with caution
95252,21.253,0.538,118.415,Rate is unstable interpret with caution
95255,226.846,40.086,2570.775,Rate is unstable interpret with caution
95257,0,,,Not applicable
Calaveras,32.225,17.44,58.427,Rate is stable
California,18.31,17.893,18.738,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
