Contra Costa ED Visits - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,0,,,Not applicable
94506,0,,,Not applicable
94507,20.11,1.435,118.535,Rate is unstable interpret with caution
94509,41.456,27.198,61.616,Rate is stable
94513,15.474,6.576,31.876,Rate may be unstable
94514,141.672,16.518,829.585,Rate is unstable interpret with caution
94517,5.821,0.147,68.368,Rate is unstable interpret with caution
94518,8.69,1.768,30.112,Rate is unstable interpret with caution
94519,13.181,2.713,45.443,Rate is unstable interpret with caution
94520,28.172,13.855,56.686,Rate may be unstable
94521,5.28,0.638,20.058,Rate is unstable interpret with caution
94523,6.832,0.827,26.354,Rate is unstable interpret with caution
94525,0,,,Not applicable
94526,12.037,1.83,47.358,Rate is unstable interpret with caution
94528,0,,,Not applicable
94530,27.298,7.874,71.964,Rate may be unstable
94531,27.481,9.925,64.581,Rate may be unstable
94547,7.317,0.75,37.264,Rate is unstable interpret with caution
94548,0,,,Not applicable
94549,39.503,14.935,87.264,Rate may be unstable
94551,12.939,4.145,38.068,Rate may be unstable
94553,17.857,8.236,35.496,Rate may be unstable
94556,0,,,Not applicable
94561,13.698,3.012,44.054,Rate is unstable interpret with caution
94563,0,,,Not applicable
94564,0,,,Not applicable
94565,10.062,4.566,21.531,Rate may be unstable
94569,0,,,Not applicable
94572,18.381,2.173,86.297,Rate is unstable interpret with caution
94582,9.529,0.875,62.142,Rate is unstable interpret with caution
94583,6.672,0.643,30.73,Rate is unstable interpret with caution
94595,18.124,0.459,118.206,Rate is unstable interpret with caution
94596,9.889,1.189,43.647,Rate is unstable interpret with caution
94597,5.542,0.14,40.485,Rate is unstable interpret with caution
94598,12.237,1.332,48.869,Rate is unstable interpret with caution
94707,0,,,Not applicable
94708,0,,,Not applicable
94801,38.239,18.969,75.802,Rate may be unstable
94803,11.122,3.013,34.834,Rate is unstable interpret with caution
94804,33.651,18.31,59.267,Rate is stable
94805,29.007,7.616,84.787,Rate is unstable interpret with caution
94806,16.534,8.207,31.482,Rate may be unstable
California,14.69,14.308,15.085,Rate is stable
Contra Costa,15.275,13.023,17.843,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
