El Dorado ED Visits - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95614,21.649,0.548,261.4,Rate is unstable interpret with caution
95619,6.761,0.171,263.343,Rate is unstable interpret with caution
95623,43.144,1.092,277.37,Rate is unstable interpret with caution
95629,0,,,Not applicable
95633,0,,,Not applicable
95634,31.638,0.801,311.811,Rate is unstable interpret with caution
95635,0,,,Not applicable
95636,0,,,Not applicable
95651,0,,,Not applicable
95664,34.121,0.864,2779.469,Rate is unstable interpret with caution
95667,28.304,12.927,57.02,Rate may be unstable
95672,44.315,1.122,278.469,Rate is unstable interpret with caution
95682,11.79,2.028,40.068,Rate is unstable interpret with caution
95684,0,,,Not applicable
95709,40.636,1.029,226.41,Rate is unstable interpret with caution
95720,0,,,Not applicable
95721,0,,,Not applicable
95726,24.473,4.06,139.589,Rate is unstable interpret with caution
95735,0,,,Not applicable
95762,13.351,3.547,41.699,Rate is unstable interpret with caution
96142,0,,,Not applicable
96150,3.098,0.078,28.599,Rate is unstable interpret with caution
California,20.042,19.608,20.488,Rate is stable
El Dorado,19.08,13.133,27.212,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
