Fresno ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93210,94.709,55.592,179.148,Rate is stable
93234,0,,,Not applicable
93242,0,,,Not applicable
93602,0,,,Not applicable
93603,0,,,Not applicable
93608,0,,,Not applicable
93609,0,,,Not applicable
93611,11.361,3.631,27.922,Rate may be unstable
93612,42.708,23.198,73.73,Rate is stable
93616,0,,,Not applicable
93618,20.557,7.976,47.428,Rate may be unstable
93619,8.298,1.611,27.906,Rate is unstable interpret with caution
93620,13.222,0.335,91.206,Rate is unstable interpret with caution
93621,0,,,Not applicable
93622,36.928,10.008,1322.795,Rate is unstable interpret with caution
93625,0,,,Not applicable
93626,0,,,Not applicable
93627,0,,,Not applicable
93628,0,,,Not applicable
93630,5.212,0.132,41.565,Rate is unstable interpret with caution
93631,0,,,Not applicable
93633,0,,,Not applicable
93640,0,,,Not applicable
93641,0,,,Not applicable
93646,29.853,3.285,153.372,Rate is unstable interpret with caution
93648,0,,,Not applicable
93650,77.459,9.369,282.461,Rate is unstable interpret with caution
93651,84.924,2.15,969.133,Rate is unstable interpret with caution
93652,0,,,Not applicable
93654,14.991,3.923,40.698,Rate is unstable interpret with caution
93656,0,,,Not applicable
93657,11.841,3.166,32.369,Rate is unstable interpret with caution
93660,0,,,Not applicable
93662,5.853,0.683,26.691,Rate is unstable interpret with caution
93664,0,,,Not applicable
93667,0,,,Not applicable
93668,0,,,Not applicable
93675,0,,,Not applicable
93701,35.657,5.928,387.503,Rate is unstable interpret with caution
93702,21.062,9.514,43.811,Rate may be unstable
93703,21.25,8.372,47.307,Rate may be unstable
93704,14.465,3.696,44.086,Rate is unstable interpret with caution
93705,30.776,14.425,60.144,Rate may be unstable
93706,30.153,14.943,56.418,Rate may be unstable
93710,15.653,4.71,45.846,Rate may be unstable
93711,17.954,7.017,41.247,Rate may be unstable
93720,9.194,2.427,25.344,Rate is unstable interpret with caution
93721,33.733,6.828,275.912,Rate is unstable interpret with caution
93722,19.515,11.061,33.322,Rate is stable
93723,12.397,1.334,69.478,Rate is unstable interpret with caution
93725,13.019,3.352,40.981,Rate is unstable interpret with caution
93726,7.475,1.366,27.64,Rate is unstable interpret with caution
93727,18.984,10.704,32.089,Rate is stable
93728,19.705,3.951,129.682,Rate is unstable interpret with caution
93730,22.022,2.667,99,Rate is unstable interpret with caution
California,28.782,28.258,29.315,Rate is stable
Fresno,14.963,12.625,17.648,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
