Humboldt ED Visits - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95501,76.457,45.667,124.013,Rate is stable
95503,50.963,26.956,90.777,Rate is stable
95511,0,,,Not applicable
95514,0,,,Not applicable
95519,24.691,6.199,69.173,Rate is unstable interpret with caution
95521,24.849,7.032,80.794,Rate may be unstable
95524,0,,,Not applicable
95525,143.334,15.305,897.001,Rate is unstable interpret with caution
95526,0,,,Not applicable
95528,0,,,Not applicable
95536,0,,,Not applicable
95540,45.414,16.13,106.66,Rate may be unstable
95542,0,,,Not applicable
95546,24.547,0.621,599.806,Rate is unstable interpret with caution
95547,125.124,3.168,867.171,Rate is unstable interpret with caution
95549,0,,,Not applicable
95550,0,,,Not applicable
95551,107.752,2.728,768.969,Rate is unstable interpret with caution
95554,0,,,Not applicable
95555,0,,,Not applicable
95556,0,,,Not applicable
95558,0,,,Not applicable
95560,516.504,62.551,6659.97,Rate is unstable interpret with caution
95562,117.763,37.896,370.598,Rate may be unstable
95563,0,,,Not applicable
95564,0,,,Not applicable
95565,0,,,Not applicable
95569,0,,,Not applicable
95570,0,,,Not applicable
95573,21.856,0.553,2862.103,Rate is unstable interpret with caution
95589,444.499,11.254,6170.767,Rate is unstable interpret with caution
California,19.04,18.615,19.475,Rate is stable
Humboldt,48.795,37.932,62.295,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
