Imperial ED Visits - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,152.551,104.372,217.596,Rate is stable
92231,44.648,24.793,74.972,Rate is stable
92233,169.451,88.837,1163.244,Rate is stable
92243,72.084,49.875,102.429,Rate is stable
92249,26.728,0.677,290.893,Rate is unstable interpret with caution
92250,27.096,3.21,130.605,Rate is unstable interpret with caution
92251,42.568,20.284,101.301,Rate may be unstable
92257,263.916,13.15,5377.82,Rate is unstable interpret with caution
92259,0,,,Not applicable
92274,20.69,2.452,77.961,Rate is unstable interpret with caution
92281,49.542,5.099,385.213,Rate is unstable interpret with caution
92283,0,,,Not applicable
California,54.877,54.132,55.63,Rate is stable
Imperial,47.272,37.672,58.863,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
